seed,lr,global_episode,train_mean_reward,eval_mean_reward,time_seconds
42,0.1,10,18.2,16.05,0.13926100730895996
42,0.1,20,16.9,115.15,0.5524749755859375
42,0.1,30,74.7,37.71,0.7665989398956299
42,0.1,40,34.8,73.72,1.0821781158447266
42,0.1,50,68.0,169.52,1.734767198562622
42,0.1,60,118.0,101.97,2.218747854232788
42,0.1,70,87.8,52.51,2.5024240016937256
42,0.1,80,48.1,45.48,2.715472936630249
42,0.1,90,44.2,47.36,2.9291350841522217
42,0.1,100,44.8,60.22,3.1862661838531494
42,0.1,110,48.9,66.66,3.469379186630249
42,0.1,120,55.3,64.22,3.75067400932312
42,0.1,130,74.3,60.89,4.081299066543579
42,0.1,140,66.0,124.54,4.581594228744507
42,0.1,150,96.1,149.92,5.198638200759888
42,0.1,160,88.4,118.46,5.703573942184448
42,0.1,170,78.0,107.63,6.16060209274292
42,0.1,180,69.4,73.38,6.491018056869507
42,0.1,190,65.5,72.92,6.81481409072876
42,0.1,200,59.6,80.45,7.15918493270874
42,0.1,210,62.1,111.79,7.608427047729492
42,0.1,220,66.2,112.03,8.060657024383545
42,0.1,230,85.6,140.73,8.630170106887817
42,0.1,240,88.6,149.18,9.239452838897705
42,0.1,250,82.4,147.3,9.830333948135376
42,0.1,260,93.8,121.8,10.383490085601807
42,0.1,270,86.3,93.95,10.803786039352417
42,0.1,280,72.4,72.03,11.133392810821533
42,0.1,290,59.2,69.59,11.438747882843018
42,0.1,300,59.6,60.72,11.712085008621216
42,0.1,310,56.6,63.49,11.99166202545166
42,0.1,320,57.4,61.28,12.270043849945068
42,0.1,330,57.0,60.65,12.543255090713501
42,0.1,340,56.4,60.14,12.817146062850952
42,0.1,350,56.9,61.24,13.092761039733887
42,0.1,360,59.5,62.73,13.373172998428345
42,0.1,370,62.0,64.41,13.668398141860962
42,0.1,380,62.1,65.16,13.965727090835571
42,0.1,390,64.8,65.72,14.264997959136963
42,0.1,400,64.9,66.31,14.564626932144165
42,0.1,410,64.5,67.28,14.870352268218994
42,0.1,420,67.5,69.08,15.182462930679321
42,0.1,430,68.1,68.29,15.497586965560913
42,0.1,440,65.2,69.58,15.81972599029541
42,0.1,450,70.5,80.73,16.176820993423462
42,0.1,460,68.3,96.01,16.5802218914032
42,0.1,470,73.6,129.66,17.109535932540894
42,0.1,480,92.3,156.14,17.73984408378601
42,0.1,490,106.2,181.96,18.475802183151245
42,0.1,500,127.2,197.88,19.320176124572754
1337,0.1,10,30.9,9.33,0.0738680362701416
1337,0.1,20,10.1,9.33,0.12012386322021484
1337,0.1,30,9.3,9.33,0.16411995887756348
1337,0.1,40,9.3,9.33,0.20857691764831543
