seed,global_episode,total_steps,train_mean_reward,eval_mean_reward,grad_norm,time_seconds
10,10,232,23.2,74.83,53.27479172757979,0.3253509998321533
10,20,451,21.9,75.03,33.531161254290055,0.6020598411560059
10,30,849,39.8,110.31,70.71915320619061,1.0137939453125
10,40,1436,58.7,84.99,42.29493037950366,1.3626649379730225
10,50,2089,65.3,85.1,41.08338522481895,1.7181248664855957
10,60,2589,50.0,151.06,45.089433640350364,2.2776198387145996
10,70,3241,65.2,92.93,69.32997326155466,2.6582748889923096
10,80,3768,52.7,89.01,20.15646975295909,3.0121240615844727
10,90,4465,69.7,95.86,53.76673616177066,3.4034311771392822
10,100,5139,67.4,140.93,102.12908447476048,3.9406769275665283
10,110,5953,81.4,293.55,77.83937704406127,5.02493691444397
10,120,7133,118.0,309.81,84.28068634972341,6.17409086227417
10,130,8143,101.0,202.54,52.26925646028417,6.9963390827178955
10,140,9931,178.8,490.95,233.9161692853352,8.802035093307495
20,10,169,16.9,69.53,72.5104145393874,0.25970888137817383
20,20,494,32.5,28.15,61.02444106521111,0.3902778625488281
20,30,819,32.5,36.44,39.86331824615369,0.5479938983917236
20,40,1137,31.8,37.89,15.461587523101313,0.711143970489502
20,50,1487,35.0,50.24,56.42576285908219,0.9199209213256836
20,60,1907,42.0,67.22,47.76055648664197,1.189857006072998
20,70,2506,59.9,105.16,51.09802838825629,1.6048448085784912
20,80,2981,47.5,115.3,19.42748789459168,2.0395309925079346
20,90,3640,65.9,77.3,50.104510632769745,2.366255760192871
20,100,4324,68.4,72.29,22.756166391787154,2.6854610443115234
20,110,5036,71.2,76.97,70.68049541450301,3.0157387256622314
20,120,5657,62.1,84.13,39.46217003325376,3.3666670322418213
20,130,6378,72.1,90.96,75.80615608563393,3.777421712875366
20,140,7081,70.3,110.36,48.616782619692515,4.22432279586792
20,150,7991,91.0,156.17,66.15581486430322,4.85408878326416
20,160,8954,96.3,215.36,65.34901669700967,5.665132761001587
20,170,9935,98.1,181.15,84.18436088995489,6.362935781478882
20,180,11245,131.0,173.14,52.96842111501092,7.070648670196533
20,190,12825,158.0,194.71,105.21996025437684,7.895962715148926
20,200,14484,165.9,218.59,65.44613309897915,8.794046878814697
20,210,16247,176.3,234.24,57.21512939833601,9.75415587425232
20,220,18499,225.2,306.1,138.5008286550746,11.010497808456421
20,230,21302,280.3,398.2,65.762896573969,12.663158893585205
20,240,23590,228.8,424.21,66.9010141554328,14.370097875595093
20,250,26585,299.5,412.85,80.04176178472872,16.064936876296997
20,260,29603,301.8,356.42,49.65244432221613,17.566597938537598
20,270,32435,283.2,310.29,66.38572348321195,18.926395893096924
20,280,35204,276.9,354.67,153.53764649908342,20.440539836883545
20,290,38691,348.7,482.16,353.107300017526,22.409353971481323
30,10,216,21.6,18.55,67.46769790441297,0.10318183898925781
30,20,499,28.3,180.85,25.196641818835726,0.7360539436340332
30,30,841,34.2,55.07,88.36167785796044,0.9575028419494629
30,40,1266,42.5,59.34,81.43195424136029,1.200190782546997
30,50,1601,33.5,104.05,50.60893723682199,1.5823848247528076
30,60,1907,30.6,145.85,54.51864535889969,2.097519874572754
30,70,2329,42.2,117.99,12.26908776567871,2.5315518379211426
30,80,2786,45.7,141.76,54.17832459811317,3.0430169105529785
30,90,3337,55.1,148.38,31.638099391401706,3.594425678253174
30,100,3981,64.4,185.47,30.95019351788688,4.277753829956055
30,110,4736,75.5,127.0,50.95217127939438,4.779008865356445
30,120,5390,65.4,78.12,8.779281025043774,5.111522674560547
30,130,5930,54.0,69.88,35.73495431857348,5.40477180480957
30,140,6619,68.9,62.83,21.74844502797695,5.7263689041137695
30,150,7120,50.1,61.89,35.3581503054022,6.01909875869751
30,160,7567,44.7,61.98,10.713136353797342,6.276335716247559
30,170,8244,67.7,68.68,67.90033180926537,6.57579493522644
30,180,9038,79.4,78.72,76.06189943336092,6.920667886734009
30,190,9690,65.2,126.67,52.798174091310585,7.414604663848877
30,200,10912,122.2,234.82,62.87516765610924,8.32683801651001
30,210,12180,126.8,285.8,100.29444514661796,9.40474796295166
30,220,13495,131.5,187.2,81.35585106388488,10.158149719238281
30,230,14768,127.3,152.92,84.3061433017076,10.797476768493652
30,240,16351,158.3,157.93,109.49895256098588,11.493201732635498
30,250,17425,107.4,203.66,126.00143663303028,12.278380632400513
30,260,18895,147.0,269.69,104.25994215242277,13.312152862548828
30,270,20240,134.5,324.02,133.89278302790194,14.557179927825928
30,280,21807,156.7,417.79,121.89604932463853,16.092044830322266
30,290,23888,208.1,477.87,68.29829996248482,17.890094757080078
40,10,213,21.3,55.74,54.864885142020626,0.21570205688476562
40,20,610,39.7,53.82,41.31367517607589,0.437014102935791
40,30,910,30.0,57.87,21.378938210436935,0.6628990173339844
40,40,1460,55.0,127.48,54.11091294966753,1.1389760971069336
40,50,1882,42.2,114.21,70.82469577752578,1.569606065750122
40,60,2253,37.1,127.47,43.38870648922917,2.0277161598205566
40,70,2724,47.1,60.43,63.820596275111676,2.281370162963867
40,80,3117,39.3,65.96,37.51689694675559,2.543246030807495
40,90,3640,52.3,65.7,25.34930040470562,2.8169138431549072
40,100,4131,49.1,65.92,21.94359402013502,3.088344097137451
40,110,4669,53.8,66.42,26.121169073043184,3.3702149391174316
40,120,5227,55.8,65.83,29.038191949244165,3.653214931488037
40,130,5764,53.7,68.79,39.96703298560859,3.942185878753662
40,140,6409,64.5,71.43,18.61267138347666,4.249398946762085
40,150,6936,52.7,100.98,56.31549855423382,4.703774929046631
40,160,7722,78.6,154.83,59.85882500990693,5.288670063018799
