lr,seed,global_episode,train_mean_reward,eval_mean_reward,time_seconds
0.1,42,10,18.2,9.33,0.1354842185974121
0.1,42,20,19.4,9.33,0.2067561149597168
0.1,42,30,20.6,9.33,0.28072118759155273
0.1,42,40,23.1,9.33,0.35932421684265137
0.1,42,50,27.1,9.33,0.44509410858154297
0.1,42,60,22.6,9.33,0.5221600532531738
0.1,42,70,25.0,9.43,0.6050941944122314
0.1,42,80,21.5,9.85,0.7010250091552734
0.1,42,90,19.0,9.6,0.7718372344970703
0.1,42,100,25.6,9.88,0.8559579849243164
0.1,42,110,18.7,24.48,0.9760501384735107
0.1,42,120,34.4,49.93,1.2087130546569824
0.1,42,130,29.4,65.9,1.4830710887908936
0.1,42,140,28.9,71.61,1.7835321426391602
0.1,42,150,24.1,66.99,2.0564138889312744
0.1,42,160,33.3,70.38,2.3606042861938477
0.1,42,170,30.6,93.7,2.7278499603271484
0.1,42,180,33.7,116.56,3.1867470741271973
0.1,42,190,34.2,117.41,3.649919033050537
0.1,42,200,36.1,165.45,4.279051065444946
0.1,42,210,41.9,171.83,4.964877128601074
0.1,42,220,33.0,163.2,5.56748104095459
0.1,42,230,61.0,164.41,6.2277750968933105
0.1,42,240,53.8,150.5,6.835669994354248
0.1,42,250,48.0,186.7,7.560324192047119
0.1,42,260,40.6,215.68,8.358053207397461
0.1,42,270,54.8,249.42,9.303752899169922
0.1,42,280,53.2,391.16,10.680329084396362
0.1,42,290,60.9,453.99,12.308577060699463
0.1,42,300,83.9,459.9,13.996313095092773
0.1,42,310,61.1,464.83,15.68547511100769
0.1,42,320,82.7,444.95,17.3054621219635
0.1,42,330,67.1,485.4,19.008268117904663
0.1,1337,10,30.9,9.33,0.10060811042785645
0.1,1337,20,27.9,14.99,0.20963311195373535
0.1,1337,30,29.8,27.63,0.365372896194458
0.1,1337,40,23.1,45.87,0.5654098987579346
0.1,1337,50,29.5,56.11,0.815863847732544
0.1,1337,60,23.7,80.97,1.1303420066833496
0.1,1337,70,31.3,122.81,1.602428913116455
0.1,1337,80,32.0,185.23,2.2938897609710693
0.1,1337,90,31.1,295.5,3.3601508140563965
0.1,1337,100,38.6,445.09,4.983070135116577
0.1,1337,110,46.4,489.48,6.698652029037476
0.1,2024,10,17.0,9.35,0.0687110424041748
0.1,2024,20,25.8,9.35,0.15422797203063965
0.1,2024,30,19.0,9.35,0.22690105438232422
0.1,2024,40,17.5,9.42,0.29578113555908203
0.1,2024,50,25.5,9.53,0.38019609451293945
0.1,2024,60,23.1,39.85,0.5603711605072021
0.1,2024,70,27.1,417.58,2.028869152069092
0.1,2024,80,19.0,88.6,2.365385055541992
0.1,2024,90,24.3,500.0,4.0768280029296875
0.1,777,10,20.2,22.41,0.1204838752746582
0.1,777,20,23.1,25.12,0.2537977695465088
0.1,777,30,17.9,35.11,0.4084737300872803
0.1,777,40,31.9,38.78,0.6035037040710449
0.1,777,50,40.8,49.84,0.8587708473205566
0.1,777,60,30.0,81.82,1.1959936618804932
0.1,777,70,26.0,91.86,1.561107873916626
0.1,777,80,23.3,127.67,2.0406157970428467
0.1,777,90,42.4,133.44,2.578354835510254
0.1,777,100,29.0,174.33,3.2603518962860107
0.1,777,110,32.7,174.54,3.9114248752593994
0.1,777,120,24.2,201.23,4.6419758796691895
0.1,777,130,28.9,317.67,5.765887975692749
0.1,777,140,53.4,279.4,6.799471855163574
0.1,777,150,43.6,288.03,7.858677864074707
0.1,777,160,55.3,302.76,9.02856183052063
0.1,777,170,47.0,328.36,10.225125789642334
0.1,777,180,38.6,249.26,11.12975788116455
0.1,777,190,59.9,256.13,12.111716032028198
0.1,777,200,45.7,275.67,13.111019849777222
0.1,777,210,41.1,261.67,14.133226871490479
0.1,777,220,63.1,242.55,15.083805799484253
0.1,777,230,58.3,254.71,16.043401956558228
0.1,777,240,63.8,254.96,17.01717185974121
0.1,777,250,74.1,275.87,18.19138503074646
0.1,777,260,64.5,300.76,19.415037870407104
0.1,777,270,75.7,299.03,20.596314668655396
0.1,777,280,159.9,312.29,21.947622776031494
0.1,777,290,112.1,326.69,23.30726385116577
0.1,777,300,69.2,355.82,24.620957851409912
0.1,777,310,103.1,366.92,26.042263984680176
0.1,777,320,110.5,386.26,27.526545763015747
0.1,777,330,123.2,406.03,29.107993841171265
0.1,777,340,103.9,390.68,30.579611778259277
0.1,777,350,89.5,367.7,31.958797931671143
0.1,777,360,112.0,378.68,33.410348892211914
0.1,777,370,141.2,378.36,34.98371767997742
0.1,777,380,117.0,372.9,36.44689679145813
0.1,777,390,144.0,367.83,37.96632170677185
0.1,777,400,114.6,367.03,39.41142988204956
0.1,777,410,97.5,371.79,40.82785391807556
0.1,777,420,147.9,397.29,42.47159790992737
0.1,777,430,169.2,421.13,44.21739482879639
0.1,777,440,234.0,434.67,46.164888858795166
0.1,777,450,174.4,425.84,47.92766284942627
0.1,777,460,126.9,475.15,49.74676489830017
0.1,999,10,23.8,10.65,0.09167814254760742
0.1,999,20,26.4,10.65,0.182142972946167
0.1,999,30,17.3,11.34,0.25835394859313965
0.1,999,40,15.7,11.84,0.33207201957702637
0.1,999,50,21.4,11.62,0.4159219264984131
0.1,999,60,18.1,12.41,0.49687814712524414
0.1,999,70,24.8,11.34,0.586104154586792
0.1,999,80,24.1,21.11,0.7104482650756836
0.1,999,90,26.2,63.47,1.0429871082305908
0.1,999,100,34.7,94.12,1.4254262447357178
0.1,999,110,33.9,112.43,1.8737900257110596
0.1,999,120,26.9,124.88,2.347553253173828
0.1,999,130,35.3,139.47,2.881788969039917
0.1,999,140,33.8,128.8,3.3684873580932617
0.1,999,150,29.4,128.09,3.8569142818450928
0.1,999,160,43.1,132.36,4.389506101608276
0.1,999,170,54.9,134.96,4.95222020149231
0.1,999,180,39.8,131.03,5.4672651290893555
0.1,999,190,58.7,137.94,6.040233135223389
0.1,999,200,54.6,143.66,6.619612216949463
0.1,999,210,42.8,150.95,7.21195912361145
0.1,999,220,61.4,162.9,7.867674112319946
0.1,999,230,62.1,166.38,8.54068112373352
0.1,999,240,56.0,166.41,9.246685028076172
0.1,999,250,82.8,172.41,9.974923133850098
