seed,global_episode,total_steps,train_mean_reward,eval_mean_reward,grad_norm,time_seconds
10,10,232,23.2,92.71,53.27479172757979,0.3894028663635254
10,20,677,44.5,35.11,62.6413631243943,0.5617668628692627
10,30,1127,45.0,55.47,52.95514444498022,0.8040339946746826
10,40,1571,44.4,69.89,22.63970340339081,1.10457181930542
10,50,2060,48.9,28.49,70.05793682822079,1.2615389823913574
10,60,2354,29.4,56.35,33.81152545142543,1.493309736251831
10,70,2805,45.1,124.97,31.6817120131854,1.9774577617645264
10,80,3744,93.9,145.71,53.47489380743158,2.5779078006744385
10,90,4495,75.1,167.99,65.45528080865232,3.2298107147216797
10,100,5448,95.3,118.49,63.864789024053096,3.767730951309204
10,110,6098,65.0,117.63,88.64084964608575,4.25746488571167
10,120,6768,67.0,108.84,98.40752184638619,4.7170188426971436
10,130,7415,64.7,147.65,86.1645757038757,5.307840824127197
10,140,8380,96.5,138.83,89.7666588406655,5.9336419105529785
10,150,9739,135.9,492.22,63.11517929438495,7.744692802429199
20,10,169,16.9,15.89,72.5104145393874,0.08090877532958984
20,20,388,21.9,40.4,33.28845616394027,0.2451000213623047
20,30,722,33.4,53.08,43.03808982390499,0.46247291564941406
20,40,1164,44.2,29.09,60.91610539793296,0.6131389141082764
20,50,1561,39.7,39.35,17.225101785780584,0.794008731842041
20,60,2046,48.5,24.39,120.9089597661409,0.933384895324707
20,70,2281,23.5,48.49,40.34280726148571,1.1277010440826416
20,80,2729,44.8,34.54,18.84082855914048,1.2971398830413818
20,90,3046,31.7,83.6,77.45469213447102,1.6173839569091797
20,100,3688,64.2,38.68,82.65952733574655,1.8570868968963623
20,110,4102,41.4,115.14,56.01336256013641,2.3058078289031982
20,120,5225,112.3,100.06,70.94542599492415,2.7731378078460693
20,130,5890,66.5,19.8,182.24160212353019,2.9186460971832275
20,140,6089,19.9,34.96,52.37115457101709,3.0633318424224854
20,150,6412,32.3,50.89,16.634912563450374,3.276738166809082
20,160,6831,41.9,176.51,66.78526764481458,3.9209280014038086
20,170,8687,185.6,182.86,79.1255354566117,4.760231018066406
20,180,10119,143.2,134.02,68.42192744290118,5.384650945663452
20,190,11304,118.5,119.85,57.47610107221871,5.9409019947052
20,200,12401,109.7,207.68,45.06337637282187,6.784711837768555
20,210,14259,185.8,223.34,48.18661455751947,7.765974044799805
20,220,16092,183.3,366.55,56.53701349055365,9.230822801589966
20,230,19066,297.4,56.49,172.90837641114226,9.779967069625854
20,240,19629,56.3,215.16,76.02908848779101,10.582775831222534
20,250,21619,199.0,239.75,85.37004654758091,11.62319278717041
20,260,24197,257.8,101.54,216.47690640132404,12.357159852981567
20,270,25257,106.0,55.16,61.481681863304445,12.680469036102295
20,280,25756,49.9,43.25,33.203653390520145,12.890410900115967
20,290,26170,41.4,72.67,58.87689346287703,13.186802864074707
20,300,26785,61.5,60.34,21.86169246679006,13.462610006332397
20,310,27361,57.6,93.46,53.821398881339654,13.846092700958252
20,320,28227,86.6,86.88,112.09460106485744,14.241639852523804
20,330,28921,69.4,138.18,109.41094606155542,14.799790859222412
20,340,30245,132.4,238.76,66.35819753221722,15.764147996902466
20,350,32183,193.8,65.76,241.0212980371062,16.20981001853943
20,360,32748,56.5,90.05,51.34303704964138,16.584945917129517
20,370,33607,85.9,98.03,34.20126799482818,17.014263153076172
