seed,lr,global_episode,train_mean_reward,eval_mean_reward,time_seconds
42,0.1,10,18.2,14.37,0.11878776550292969
42,0.1,20,14.8,16.8,0.19017791748046875
42,0.1,30,17.0,15.85,0.2610158920288086
42,0.1,40,15.6,9.33,0.30883193016052246
42,0.1,50,9.3,9.33,0.35042881965637207
42,0.1,60,9.3,9.33,0.3920760154724121
42,0.1,70,9.3,9.33,0.43352389335632324
42,0.1,80,9.3,9.33,0.4751439094543457
42,0.1,90,9.3,9.33,0.5163998603820801
42,0.1,100,9.3,9.33,0.5577950477600098
42,0.1,110,9.3,9.33,0.599376916885376
42,0.1,120,9.3,9.33,0.6409828662872314
42,0.1,130,9.3,9.33,0.6825618743896484
42,0.1,140,9.3,9.33,0.723956823348999
42,0.1,150,9.3,9.33,0.765312910079956
42,0.1,160,9.3,9.33,0.806473970413208
42,0.1,170,9.3,9.33,0.8479828834533691
42,0.1,180,9.3,9.33,0.8893978595733643
42,0.1,190,9.3,9.33,0.9313797950744629
42,0.1,200,9.3,9.33,0.9734489917755127
42,0.1,210,9.3,9.33,1.0152969360351562
42,0.1,220,9.3,9.33,1.056835651397705
42,0.1,230,9.3,9.33,1.0985348224639893
42,0.1,240,9.3,9.33,1.1407208442687988
42,0.1,250,9.3,9.33,1.1825828552246094
42,0.1,260,9.3,9.33,1.224992036819458
42,0.1,270,9.3,9.33,1.2672908306121826
42,0.1,280,9.3,9.33,1.3096108436584473
42,0.1,290,9.3,9.33,1.351715087890625
42,0.1,300,9.3,9.33,1.3942787647247314
42,0.1,310,9.3,9.33,1.4369499683380127
42,0.1,320,9.3,9.33,1.479414939880371
42,0.1,330,9.3,9.33,1.5212159156799316
42,0.1,340,9.3,9.33,1.5627329349517822
42,0.1,350,9.3,9.33,1.6047868728637695
42,0.1,360,9.3,9.33,1.646927833557129
42,0.1,370,9.3,9.33,1.689527988433838
42,0.1,380,9.3,9.33,1.7321579456329346
42,0.1,390,9.3,9.33,1.7748627662658691
42,0.1,400,9.3,9.33,1.8167428970336914
42,0.1,410,9.3,9.33,1.8595919609069824
42,0.1,420,9.3,9.33,1.902209997177124
42,0.1,430,9.3,9.33,1.9438657760620117
42,0.1,440,9.3,9.33,1.9863810539245605
42,0.1,450,9.3,9.33,2.028453826904297
42,0.1,460,9.3,9.33,2.070585012435913
42,0.1,470,9.3,9.33,2.1128928661346436
42,0.1,480,9.3,9.33,2.1553268432617188
42,0.1,490,9.3,9.33,2.197896957397461
42,0.1,500,9.3,9.33,2.240323066711426
1337,0.1,10,30.9,9.33,0.06530404090881348
1337,0.1,20,9.3,9.33,0.10782289505004883
1337,0.1,30,9.3,9.33,0.15047502517700195
1337,0.1,40,9.3,9.33,0.1926860809326172
1337,0.1,50,9.3,9.33,0.23501300811767578
1337,0.1,60,9.3,9.33,0.27744603157043457
1337,0.1,70,9.3,9.33,0.3200571537017822
1337,0.1,80,9.3,9.33,0.3622620105743408
1337,0.1,90,9.3,9.33,0.4047989845275879
1337,0.1,100,9.3,9.33,0.44822096824645996
1337,0.1,110,9.3,9.33,0.4906902313232422
1337,0.1,120,9.3,9.33,0.5330121517181396
1337,0.1,130,9.3,9.33,0.5765969753265381
1337,0.1,140,9.3,9.33,0.6202590465545654
1337,0.1,150,9.3,9.33,0.6627941131591797
1337,0.1,160,9.3,9.33,0.7054111957550049
1337,0.1,170,9.3,9.33,0.747852087020874
1337,0.1,180,9.3,9.33,0.7902140617370605
1337,0.1,190,9.3,9.33,0.8326752185821533
1337,0.1,200,9.3,9.33,0.8750369548797607
1337,0.1,210,9.3,9.33,0.917119026184082
1337,0.1,220,9.3,9.33,0.9594912528991699
1337,0.1,230,9.3,9.33,1.0014631748199463
1337,0.1,240,9.3,9.33,1.0440561771392822
1337,0.1,250,9.3,9.33,1.0864450931549072
1337,0.1,260,9.3,9.33,1.12947416305542
1337,0.1,270,9.3,9.33,1.1715710163116455
1337,0.1,280,9.3,9.33,1.213852882385254
1337,0.1,290,9.3,9.33,1.2565052509307861
1337,0.1,300,9.3,9.33,1.2995810508728027
1337,0.1,310,9.3,9.33,1.3434829711914062
1337,0.1,320,9.3,10.07,1.3886668682098389
1337,0.1,330,10.1,12.58,1.4430081844329834
1337,0.1,340,12.7,39.45,1.5898950099945068
1337,0.1,350,38.7,16.18,1.6864688396453857
1337,0.1,360,16.5,31.07,1.8096678256988525
1337,0.1,370,30.5,11.05,1.8811290264129639
1337,0.1,380,11.2,22.82,1.9709980487823486
1337,0.1,390,22.9,17.21,2.0545711517333984
1337,0.1,400,17.1,11.04,2.1119801998138428
1337,0.1,410,11.1,10.93,2.1617720127105713
1337,0.1,420,11.0,9.35,2.206674098968506
1337,0.1,430,9.2,9.35,2.2489302158355713
1337,0.1,440,9.2,9.35,2.2912070751190186
1337,0.1,450,9.2,9.35,2.3337318897247314
1337,0.1,460,9.2,9.35,2.3761250972747803
1337,0.1,470,9.2,9.35,2.4184021949768066
1337,0.1,480,9.2,9.35,2.4609010219573975
1337,0.1,490,9.2,9.35,2.5031869411468506
1337,0.1,500,9.2,9.35,2.5456089973449707
2024,0.1,10,17.0,9.35,0.050728797912597656
2024,0.1,20,9.2,9.35,0.09305286407470703
2024,0.1,30,9.2,9.35,0.1359260082244873
2024,0.1,40,9.2,9.35,0.1786808967590332
2024,0.1,50,9.2,9.35,0.22112679481506348
2024,0.1,60,9.2,9.35,0.263948917388916
2024,0.1,70,9.2,9.35,0.3067009449005127
2024,0.1,80,9.2,9.35,0.34949183464050293
2024,0.1,90,9.2,9.35,0.3918039798736572
2024,0.1,100,9.2,9.35,0.43423986434936523
2024,0.1,110,9.2,9.35,0.47632288932800293
2024,0.1,120,9.2,9.35,0.5183548927307129
2024,0.1,130,9.2,9.35,0.5607898235321045
2024,0.1,140,9.2,9.35,0.6036558151245117
2024,0.1,150,9.2,9.35,0.6459808349609375
2024,0.1,160,9.2,9.35,0.6881818771362305
2024,0.1,170,9.2,9.35,0.7308518886566162
2024,0.1,180,9.2,9.35,0.773291826248169
2024,0.1,190,9.2,9.35,0.8156137466430664
2024,0.1,200,9.2,9.35,0.8583278656005859
2024,0.1,210,9.2,9.35,0.900702953338623
2024,0.1,220,9.2,9.35,0.9431989192962646
2024,0.1,230,9.2,9.35,0.9879069328308105
2024,0.1,240,9.2,9.35,1.0326881408691406
2024,0.1,250,9.3,9.35,1.0764188766479492
2024,0.1,260,9.2,9.35,1.1200928688049316
2024,0.1,270,9.2,9.35,1.163165807723999
2024,0.1,280,9.2,9.35,1.2054319381713867
