lr,seed,global_episode,train_mean_reward,eval_mean_reward,time_seconds
0.1,10,10,23.2,24.82,0.1403646469116211
0.1,10,20,28.5,36.89,0.3222799301147461
0.1,10,30,24.1,45.13,0.5214159488677979
0.1,10,40,29.4,60.59,0.7870519161224365
0.1,10,50,25.4,78.13,1.0945789813995361
0.1,10,60,37.6,88.61,1.487825870513916
0.1,10,70,34.4,87.25,1.855785846710205
0.1,10,80,32.0,100.33,2.2514548301696777
0.1,10,90,33.3,123.93,2.767570972442627
0.1,10,100,52.3,143.54,3.351693868637085
0.1,10,110,59.3,181.3,4.076433897018433
0.1,10,120,38.5,195.17,4.79760479927063
0.1,10,130,39.4,217.95,5.599156856536865
0.1,10,140,64.7,243.81,6.5457518100738525
0.1,10,150,48.8,291.2,7.626796007156372
0.1,10,160,44.9,311.88,8.767749786376953
0.1,10,170,50.8,249.02,9.693201780319214
0.1,10,180,44.6,270.61,10.679348945617676
0.1,10,190,63.9,292.78,11.758351802825928
0.1,10,200,60.1,268.9,12.764672040939331
0.1,10,210,59.0,332.47,14.013484001159668
0.1,10,220,84.5,372.35,15.420965909957886
0.1,10,230,91.3,399.6,16.907702684402466
0.1,10,240,54.0,418.33,18.40015172958374
0.1,10,250,89.9,422.84,19.97101902961731
0.1,10,260,124.1,444.65,21.689159870147705
0.1,10,270,144.9,477.88,23.588106870651245
0.1,20,10,16.9,9.35,0.07647585868835449
0.1,20,20,20.8,9.35,0.1530768871307373
0.1,20,30,28.5,9.35,0.2450728416442871
0.1,20,40,18.5,9.35,0.31853389739990234
0.1,20,50,26.4,9.35,0.406033992767334
0.1,20,60,20.3,9.35,0.48200488090515137
0.1,20,70,30.5,10.66,0.5817978382110596
0.1,20,80,16.6,10.91,0.6569788455963135
0.1,20,90,27.4,33.47,0.8240630626678467
0.1,20,100,29.8,45.31,1.0369579792022705
0.1,20,110,35.8,46.27,1.2654857635498047
0.1,20,120,26.3,45.18,1.4755120277404785
0.1,20,130,35.4,51.32,1.71766996383667
0.1,20,140,45.2,61.58,2.0120770931243896
0.1,20,150,28.8,69.21,2.3037350177764893
0.1,20,160,37.0,80.59,2.652646780014038
0.1,20,170,34.7,104.38,3.0710668563842773
0.1,20,180,32.6,103.06,3.476470947265625
0.1,20,190,46.3,109.21,3.927846908569336
0.1,20,200,33.5,121.17,4.3894147872924805
0.1,20,210,39.0,130.96,4.895614862442017
0.1,20,220,49.4,141.22,5.472886085510254
0.1,20,230,37.6,144.97,6.021666049957275
0.1,20,240,64.2,160.99,6.677227973937988
0.1,20,250,70.8,168.28,7.379570960998535
0.1,20,260,50.7,165.28,8.031173944473267
0.1,20,270,82.7,164.12,8.735504865646362
0.1,20,280,90.9,172.65,9.491608142852783
