seed,lr,damping,global_episode,total_steps,train_mean_reward,eval_mean_reward,time_seconds,grad_norm,fim_condition_number
1000,0.01,nan,10,290,29.0,47.5,0.19063591957092285,28.40293312072754,N/A
1000,0.01,nan,20,661,37.1,139.53,0.6890349388122559,26.386558532714844,N/A
1000,0.01,nan,30,1061,40.0,151.05,1.2295548915863037,42.902801513671875,N/A
1000,0.01,nan,40,1453,39.2,196.52,1.9154648780822754,18.266620635986328,N/A
1000,0.01,nan,50,2192,73.9,87.79,2.2852110862731934,27.703250885009766,N/A
1000,0.01,nan,60,2728,53.6,91.67,2.6960811614990234,53.47697448730469,N/A
1000,0.01,nan,70,3407,67.9,221.45,3.4790241718292236,79.21431732177734,N/A
1000,0.01,nan,80,3974,56.7,179.77,4.115142107009888,63.49738311767578,N/A
1000,0.01,nan,90,4682,70.8,177.43,4.7669901847839355,60.37987518310547,N/A
1000,0.01,nan,100,5472,79.0,238.4,5.617210149765015,55.52141571044922,N/A
1000,0.01,nan,110,6220,74.8,329.49,6.768956184387207,54.998313903808594,N/A
1000,0.01,nan,120,7444,122.4,370.51,8.104679822921753,112.19873809814453,N/A
1000,0.01,nan,130,8519,107.5,405.47,9.543375015258789,110.74740600585938,N/A
1000,0.01,nan,140,9883,136.4,441.66,11.148017168045044,70.37020874023438,N/A
1000,0.01,nan,150,11876,199.3,450.21,12.886527061462402,110.77845001220703,N/A
1000,0.01,nan,160,14166,229.0,398.64,14.430992126464844,80.39171600341797,N/A
1000,0.01,nan,170,16009,184.3,333.78,15.746543169021606,108.0493392944336,N/A
1000,0.01,nan,180,18124,211.5,458.31,17.534961938858032,164.69357299804688,N/A
1000,0.01,nan,190,20841,271.7,498.93,19.52623987197876,105.30596923828125,N/A
2000,0.01,nan,10,283,28.3,47.64,0.1988849639892578,48.2591552734375,N/A
2000,0.01,nan,20,597,31.4,84.54,0.5301039218902588,47.263729095458984,N/A
2000,0.01,nan,30,913,31.6,98.06,0.8850719928741455,25.67391014099121,N/A
2000,0.01,nan,40,1281,36.8,62.35,1.1407010555267334,25.42328453063965,N/A
2000,0.01,nan,50,1664,38.3,96.06,1.5062711238861084,58.20808792114258,N/A
2000,0.01,nan,60,2153,48.9,87.62,1.8444828987121582,21.689908981323242,N/A
2000,0.01,nan,70,2537,38.4,67.58,2.2260560989379883,7.421527862548828,N/A
2000,0.01,nan,80,3074,53.7,93.15,2.594649076461792,54.20796203613281,N/A
2000,0.01,nan,90,3552,47.8,67.83,2.871335029602051,83.34848022460938,N/A
2000,0.01,nan,100,4048,49.6,69.2,3.1534769535064697,13.887243270874023,N/A
2000,0.01,nan,110,4817,76.9,71.17,3.481397867202759,18.907833099365234,N/A
2000,0.01,nan,120,5300,48.3,71.36,3.7776710987091064,13.888919830322266,N/A
2000,0.01,nan,130,5828,52.8,71.55,4.068900108337402,10.469649314880371,N/A
2000,0.01,nan,140,6462,63.4,70.37,4.36513090133667,42.10795593261719,N/A
2000,0.01,nan,150,6999,53.7,68.37,4.654684066772461,5.188283920288086,N/A
2000,0.01,nan,160,7555,55.6,76.43,4.964659214019775,63.31684875488281,N/A
2000,0.01,nan,170,8206,65.1,96.37,5.365381956100464,80.35382080078125,N/A
2000,0.01,nan,180,8847,64.1,125.72,5.861784934997559,40.41521453857422,N/A
2000,0.01,nan,190,9817,97.0,224.7,6.726319074630737,39.62765121459961,N/A
2000,0.01,nan,200,10867,105.0,213.12,7.530516147613525,101.79193115234375,N/A
2000,0.01,nan,210,11958,109.1,189.38,8.277519941329956,88.26219177246094,N/A
2000,0.01,nan,220,13265,130.7,265.9,9.283886909484863,134.11036682128906,N/A
2000,0.01,nan,230,14862,159.7,411.8,10.872888088226318,47.61555862426758,N/A
2000,0.01,nan,240,17063,220.1,491.17,12.714580059051514,319.6834411621094,N/A
3000,0.01,nan,10,185,18.5,9.28,0.06090283393859863,43.97177505493164,N/A
3000,0.01,nan,20,357,17.2,19.99,0.1453239917755127,11.777774810791016,N/A
3000,0.01,nan,30,624,26.7,53.71,0.34864091873168945,110.57903289794922,N/A
3000,0.01,nan,40,883,25.9,52.75,0.5482339859008789,64.25746154785156,N/A
3000,0.01,nan,50,1342,45.9,47.54,0.7514119148254395,85.23646545410156,N/A
3000,0.01,nan,60,1825,48.3,114.1,1.1718778610229492,58.66000747680664,N/A
3000,0.01,nan,70,2336,51.1,187.74,1.8564269542694092,33.945106506347656,N/A
3000,0.01,nan,80,2764,42.8,110.36,2.274003028869629,28.367887496948242,N/A
