seed,lr,damping,global_episode,total_steps,train_mean_reward,eval_mean_reward,time_seconds,grad_norm,fim_condition_number
100,1.0,N/A,10,118,11.8,9.28,0.09850692749023438,27.849515914916992,N/A
100,1.0,N/A,20,213,9.5,9.28,0.17170119285583496,0.0,N/A
100,1.0,N/A,30,308,9.5,9.28,0.24399399757385254,0.0,N/A
100,1.0,N/A,40,403,9.5,9.28,0.31624603271484375,0.0,N/A
100,1.0,N/A,50,498,9.5,9.28,0.3882899284362793,0.0,N/A
100,1.0,N/A,60,593,9.5,9.28,0.4601449966430664,0.0,N/A
100,1.0,N/A,70,688,9.5,9.28,0.5319719314575195,0.0,N/A
100,1.0,N/A,80,783,9.5,9.28,0.6038088798522949,0.0,N/A
100,1.0,N/A,90,878,9.5,9.28,0.6755261421203613,0.0,N/A
100,1.0,N/A,100,973,9.5,9.28,0.7470729351043701,0.0,N/A
100,1.0,N/A,110,1068,9.5,9.28,0.8187949657440186,0.0,N/A
100,1.0,N/A,120,1163,9.5,9.28,0.8908982276916504,0.0,N/A
100,1.0,N/A,130,1258,9.5,9.28,0.9623870849609375,0.0,N/A
100,1.0,N/A,140,1353,9.5,9.28,1.0338709354400635,0.0,N/A
100,1.0,N/A,150,1448,9.5,9.28,1.105445146560669,0.0,N/A
100,1.0,N/A,160,1543,9.5,9.28,1.1770150661468506,0.0,N/A
100,1.0,N/A,170,1638,9.5,9.28,1.2484331130981445,0.0,N/A
100,1.0,N/A,180,1733,9.5,9.28,1.3198950290679932,0.0,N/A
100,1.0,N/A,190,1828,9.5,9.28,1.3915162086486816,0.0,N/A
100,1.0,N/A,200,1923,9.5,9.28,1.4630370140075684,0.0,N/A
100,1.0,N/A,210,2018,9.5,9.28,1.534393072128296,0.0,N/A
100,1.0,N/A,220,2113,9.5,9.28,1.605727195739746,0.0,N/A
100,1.0,N/A,230,2208,9.5,9.28,1.6771559715270996,0.0,N/A
100,1.0,N/A,240,2303,9.5,9.28,1.7485699653625488,0.0,N/A
100,1.0,N/A,250,2398,9.5,9.28,1.8199920654296875,0.0,N/A
100,1.0,N/A,260,2493,9.5,9.28,1.8915581703186035,0.0,N/A
100,1.0,N/A,270,2588,9.5,9.28,1.962867021560669,0.0,N/A
100,1.0,N/A,280,2683,9.5,9.28,2.0341150760650635,0.0,N/A
100,1.0,N/A,290,2778,9.5,9.28,2.105278253555298,0.0,N/A
100,1.0,N/A,300,2873,9.5,9.28,2.1762499809265137,0.0,N/A
100,1.0,N/A,310,2968,9.5,9.28,2.247540235519409,0.0,N/A
100,1.0,N/A,320,3063,9.5,9.28,2.3187739849090576,0.0,N/A
100,1.0,N/A,330,3158,9.5,9.28,2.3901400566101074,0.0,N/A
100,1.0,N/A,340,3253,9.5,9.28,2.4613070487976074,0.0,N/A
100,1.0,N/A,350,3348,9.5,9.28,2.5326361656188965,0.0,N/A
100,1.0,N/A,360,3443,9.5,9.28,2.6038830280303955,0.0,N/A
100,1.0,N/A,370,3538,9.5,9.28,2.675118923187256,0.0,N/A
100,1.0,N/A,380,3633,9.5,9.28,2.746337890625,0.0,N/A
100,1.0,N/A,390,3728,9.5,9.28,2.8175320625305176,0.0,N/A
100,1.0,N/A,400,3823,9.5,9.28,2.8890721797943115,0.0,N/A
100,1.0,N/A,410,3918,9.5,9.28,2.9603450298309326,0.0,N/A
100,1.0,N/A,420,4013,9.5,9.28,3.0315511226654053,0.0,N/A
100,1.0,N/A,430,4108,9.5,9.28,3.1027140617370605,0.0,N/A
100,1.0,N/A,440,4203,9.5,9.28,3.1739041805267334,0.0,N/A
100,1.0,N/A,450,4298,9.5,9.28,3.2450690269470215,0.0,N/A
100,1.0,N/A,460,4393,9.5,9.28,3.316288948059082,0.0,N/A
100,1.0,N/A,470,4488,9.5,9.28,3.387701988220215,0.0,N/A
100,1.0,N/A,480,4583,9.5,9.28,3.4589102268218994,0.0,N/A
100,1.0,N/A,490,4678,9.5,9.28,3.5301239490509033,0.0,N/A
100,1.0,N/A,500,4773,9.5,9.28,3.601231098175049,0.0,N/A
200,1.0,N/A,10,188,18.8,14.96,0.12386202812194824,54.391075134277344,N/A
200,1.0,N/A,20,344,15.6,9.28,0.20702624320983887,49.928466796875,N/A
200,1.0,N/A,30,439,9.5,9.28,0.2793290615081787,0.0,N/A
200,1.0,N/A,40,534,9.5,9.28,0.3508591651916504,0.0,N/A
200,1.0,N/A,50,629,9.5,9.28,0.4225490093231201,0.0,N/A
200,1.0,N/A,60,724,9.5,9.28,0.4938781261444092,0.0,N/A
200,1.0,N/A,70,819,9.5,9.28,0.5654420852661133,0.0,N/A
200,1.0,N/A,80,914,9.5,9.28,0.6368272304534912,0.0,N/A
200,1.0,N/A,90,1009,9.5,9.28,0.7084271907806396,0.0,N/A
200,1.0,N/A,100,1104,9.5,9.28,0.7798902988433838,0.0,N/A
200,1.0,N/A,110,1199,9.5,9.28,0.9208650588989258,0.0,N/A
200,1.0,N/A,120,1294,9.5,9.28,0.9964592456817627,0.0,N/A
200,1.0,N/A,130,1389,9.5,9.28,1.0707881450653076,0.0,N/A
200,1.0,N/A,140,1484,9.5,9.28,1.1448242664337158,0.0,N/A
200,1.0,N/A,150,1579,9.5,9.28,1.2185642719268799,0.0,N/A
200,1.0,N/A,160,1674,9.5,9.28,1.2921972274780273,0.0,N/A
200,1.0,N/A,170,1769,9.5,9.28,1.3656723499298096,0.0,N/A
200,1.0,N/A,180,1864,9.5,9.28,1.4391810894012451,0.0,N/A
200,1.0,N/A,190,1959,9.5,9.28,1.5133702754974365,0.0,N/A
200,1.0,N/A,200,2054,9.5,9.28,1.5918610095977783,0.0,N/A
200,1.0,N/A,210,2149,9.5,9.28,1.665722131729126,0.0,N/A
200,1.0,N/A,220,2244,9.5,9.28,1.7394452095031738,0.0,N/A
200,1.0,N/A,230,2339,9.5,9.28,1.8139173984527588,0.0,N/A
200,1.0,N/A,240,2434,9.5,9.28,1.8882932662963867,0.0,N/A
200,1.0,N/A,250,2529,9.5,9.28,1.9620411396026611,0.0,N/A
200,1.0,N/A,260,2624,9.5,9.28,2.035630226135254,0.0,N/A
200,1.0,N/A,270,2719,9.5,9.28,2.1090171337127686,0.0,N/A
200,1.0,N/A,280,2814,9.5,9.28,2.1822330951690674,0.0,N/A
200,1.0,N/A,290,2909,9.5,9.28,2.2553391456604004,0.0,N/A
200,1.0,N/A,300,3004,9.5,9.28,2.328301191329956,0.0,N/A
200,1.0,N/A,310,3099,9.5,9.28,2.401076316833496,0.0,N/A
200,1.0,N/A,320,3194,9.5,9.28,2.4737842082977295,0.0,N/A
200,1.0,N/A,330,3289,9.5,9.28,2.553354024887085,0.0,N/A
200,1.0,N/A,340,3384,9.5,9.28,2.6292622089385986,0.0,N/A
