seed,lr,damping,global_episode,total_steps,train_mean_reward,eval_mean_reward,time_seconds,grad_norm,fim_condition_number
100,1.0,0.01,10,118,11.8,9.28,0.14703702926635742,27.849515914916992,268.4775390625
100,1.0,0.01,20,213,9.5,9.28,0.23593497276306152,0.0,0.9999989867210388
100,1.0,0.01,30,308,9.5,9.28,0.3243980407714844,0.0,0.9999989867210388
100,1.0,0.01,40,403,9.5,9.28,0.4114701747894287,0.0,0.9999989867210388
100,1.0,0.01,50,498,9.5,9.28,0.49791502952575684,0.0,0.9999989867210388
100,1.0,0.01,60,593,9.5,9.28,0.5851731300354004,0.0,0.9999989867210388
100,1.0,0.01,70,688,9.5,9.28,0.671555757522583,0.0,0.9999989867210388
100,1.0,0.01,80,783,9.5,9.28,0.758962869644165,0.0,0.9999989867210388
100,1.0,0.01,90,878,9.5,9.28,0.845710039138794,0.0,0.9999989867210388
100,1.0,0.01,100,973,9.5,9.28,0.9323580265045166,0.0,0.9999989867210388
100,1.0,0.01,110,1068,9.5,9.28,1.0197901725769043,0.0,0.9999989867210388
100,1.0,0.01,120,1163,9.5,9.28,1.1058399677276611,0.0,0.9999989867210388
100,1.0,0.01,130,1258,9.5,9.28,1.1922719478607178,0.0,0.9999989867210388
100,1.0,0.01,140,1353,9.5,9.28,1.2795109748840332,0.0,0.9999989867210388
100,1.0,0.01,150,1448,9.5,9.28,1.3660359382629395,0.0,0.9999989867210388
100,1.0,0.01,160,1543,9.5,9.28,1.4525890350341797,0.0,0.9999989867210388
100,1.0,0.01,170,1638,9.5,9.28,1.5389699935913086,0.0,0.9999989867210388
100,1.0,0.01,180,1733,9.5,9.28,1.6267478466033936,0.0,0.9999989867210388
100,1.0,0.01,190,1828,9.5,9.28,1.715893030166626,0.0,0.9999989867210388
100,1.0,0.01,200,1923,9.5,9.28,1.8050928115844727,0.0,0.9999989867210388
100,1.0,0.01,210,2018,9.5,9.28,1.922266960144043,0.0,0.9999989867210388
100,1.0,0.01,220,2113,9.5,9.28,2.014204978942871,0.0,0.9999989867210388
100,1.0,0.01,230,2208,9.5,9.28,2.1054868698120117,0.0,0.9999989867210388
100,1.0,0.01,240,2303,9.5,9.28,2.1960971355438232,0.0,0.9999989867210388
100,1.0,0.01,250,2398,9.5,9.28,2.2849631309509277,0.0,0.9999989867210388
100,1.0,0.01,260,2493,9.5,9.28,2.3736820220947266,0.0,0.9999989867210388
100,1.0,0.01,270,2588,9.5,9.28,2.460566997528076,0.0,0.9999989867210388
100,1.0,0.01,280,2683,9.5,9.28,2.5477969646453857,0.0,0.9999989867210388
100,1.0,0.01,290,2778,9.5,9.28,2.6349761486053467,0.0,0.9999989867210388
100,1.0,0.01,300,2873,9.5,9.28,2.7217209339141846,0.0,0.9999989867210388
100,1.0,0.01,310,2968,9.5,9.28,2.8099000453948975,0.0,0.9999989867210388
100,1.0,0.01,320,3063,9.5,9.28,2.898833990097046,0.0,0.9999989867210388
100,1.0,0.01,330,3158,9.5,9.28,2.9868838787078857,0.0,0.9999989867210388
100,1.0,0.01,340,3253,9.5,9.28,3.0747342109680176,0.0,0.9999989867210388
100,1.0,0.01,350,3348,9.5,9.28,3.160597085952759,0.0,0.9999989867210388
100,1.0,0.01,360,3443,9.5,9.28,3.249340057373047,0.0,0.9999989867210388
100,1.0,0.01,370,3538,9.5,9.28,3.3381121158599854,0.0,0.9999989867210388
100,1.0,0.01,380,3633,9.5,9.28,3.4265658855438232,0.0,0.9999989867210388
100,1.0,0.01,390,3728,9.5,9.28,3.5147340297698975,0.0,0.9999989867210388
100,1.0,0.01,400,3823,9.5,9.28,3.6028308868408203,0.0,0.9999989867210388
100,1.0,0.01,410,3918,9.5,9.28,3.689072847366333,0.0,0.9999989867210388
100,1.0,0.01,420,4013,9.5,9.28,3.776473045349121,0.0,0.9999989867210388
100,1.0,0.01,430,4108,9.5,9.28,3.864227771759033,0.0,0.9999989867210388
100,1.0,0.01,440,4203,9.5,9.28,3.950192928314209,0.0,0.9999989867210388
100,1.0,0.01,450,4298,9.5,9.28,4.037083864212036,0.0,0.9999989867210388
100,1.0,0.01,460,4393,9.5,9.28,4.124886989593506,0.0,0.9999989867210388
100,1.0,0.01,470,4488,9.5,9.28,4.211221933364868,0.0,0.9999989867210388
100,1.0,0.01,480,4583,9.5,9.28,4.298885822296143,0.0,0.9999989867210388
100,1.0,0.01,490,4678,9.5,9.28,4.386999130249023,0.0,0.9999989867210388
100,1.0,0.01,500,4773,9.5,9.28,4.474442005157471,0.0,0.9999989867210388
200,1.0,0.01,10,188,18.8,14.3,0.1587369441986084,54.391075134277344,340.9967956542969
200,1.0,0.01,20,330,14.2,10.03,0.27495718002319336,99.00662231445312,23672.53515625
200,1.0,0.01,30,429,9.9,9.41,0.3731269836425781,1.2662135362625122,11.102025985717773
200,1.0,0.01,40,522,9.3,16.2,0.5097610950469971,0.5491068363189697,1.0642482042312622
200,1.0,0.01,50,680,15.8,20.92,0.6923980712890625,24.20525550842285,239.78018188476562
200,1.0,0.01,60,876,19.6,20.92,0.8838479518890381,6.23759069640073e-06,1.000001072883606
200,1.0,0.01,70,1072,19.6,20.92,1.0770821571350098,6.187414783198619e-06,1.000001311302185
200,1.0,0.01,80,1268,19.6,20.92,1.273906946182251,6.1378523241728544e-06,1.0000008344650269
200,1.0,0.01,90,1464,19.6,20.92,1.5369222164154053,6.089168891776353e-06,1.0000011920928955
200,1.0,0.01,100,1660,19.6,20.92,1.7272090911865234,6.040859716449631e-06,1.000001072883606
200,1.0,0.01,110,1856,19.6,20.92,1.9197649955749512,5.993353170197224e-06,1.0000009536743164
200,1.0,0.01,120,2052,19.6,20.92,2.113208055496216,5.947143108642194e-06,1.0000009536743164
200,1.0,0.01,130,2248,19.6,20.92,2.3038690090179443,5.901287750020856e-06,1.000001072883606
200,1.0,0.01,140,2444,19.6,20.92,2.494357109069824,5.85630050409236e-06,1.000001072883606
200,1.0,0.01,150,2640,19.6,20.92,2.6872100830078125,5.811781647935277e-06,1.000001072883606
200,1.0,0.01,160,2836,19.6,20.92,2.8783061504364014,5.76796355744591e-06,1.000001072883606
200,1.0,0.01,170,3032,19.6,20.92,3.069230079650879,5.724869879486505e-06,1.000001072883606
200,1.0,0.01,180,3228,19.6,20.92,3.2614641189575195,5.6826957006705925e-06,1.000001072883606
200,1.0,0.01,190,3424,19.6,20.92,3.455073118209839,5.6408680393360555e-06,1.0000011920928955
200,1.0,0.01,200,3620,19.6,20.92,3.645479917526245,5.5997775234573055e-06,1.0000009536743164
200,1.0,0.01,210,3816,19.6,20.92,3.8375279903411865,5.559041710512247e-06,1.0000014305114746
200,1.0,0.01,220,4012,19.6,20.92,4.027422904968262,5.518832040252164e-06,1.000001072883606
200,1.0,0.01,230,4208,19.6,20.92,4.220076084136963,5.479653736983892e-06,1.000001311302185
