seed,lr,damping,global_episode,total_steps,train_mean_reward,eval_mean_reward,time_seconds,grad_norm,condition_number
2000,0.01,N/A,10,283,28.3,47.64,0.3476908206939697,48.2591552734375,N/A
2000,0.01,N/A,20,597,31.4,84.54,0.9266459941864014,47.263729095458984,N/A
2000,0.01,N/A,30,913,31.6,98.06,1.555771827697754,25.67391014099121,N/A
2000,0.01,N/A,40,1281,36.8,62.35,1.9824061393737793,25.42328453063965,N/A
2000,0.01,N/A,50,1664,38.3,96.06,2.600929021835327,58.20808792114258,N/A
2000,0.01,N/A,60,2153,48.9,87.62,3.188140869140625,21.689908981323242,N/A
2000,0.01,N/A,70,2537,38.4,67.58,3.652413845062256,7.421527862548828,N/A
2000,0.01,N/A,80,3074,53.7,93.15,4.287839889526367,54.20796203613281,N/A
2000,0.01,N/A,90,3552,47.8,67.83,4.885807037353516,83.34848022460938,N/A
2000,0.01,N/A,100,4048,49.6,69.2,5.3694748878479,13.887243270874023,N/A
2000,0.01,N/A,110,4817,76.9,71.17,5.912645101547241,18.907833099365234,N/A
2000,0.01,N/A,120,5300,48.3,71.36,6.453541994094849,13.888919830322266,N/A
2000,0.01,N/A,130,5828,52.8,71.55,6.968440055847168,10.469649314880371,N/A
2000,0.01,N/A,140,6462,63.4,70.37,7.48070502281189,42.10795593261719,N/A
2000,0.01,N/A,150,6999,53.7,68.37,7.970055818557739,5.188283920288086,N/A
2000,0.01,N/A,160,7555,55.6,76.43,8.50676703453064,63.31684875488281,N/A
2000,0.01,N/A,170,8206,65.1,96.37,9.17411494255066,80.35382080078125,N/A
2000,0.01,N/A,180,8847,64.1,125.72,10.002206802368164,40.41521453857422,N/A
2000,0.01,N/A,190,9817,97.0,224.7,11.489055871963501,39.62765121459961,N/A
2000,0.01,N/A,200,10867,105.0,213.12,12.983933925628662,101.79193115234375,N/A
2000,0.01,N/A,210,11958,109.1,189.38,14.400274753570557,88.26219177246094,N/A
2000,0.01,N/A,220,13265,130.7,265.9,16.132888078689575,134.11036682128906,N/A
2000,0.01,N/A,230,14862,159.7,411.8,18.870276927947998,47.61555862426758,N/A
2000,0.01,N/A,240,17063,220.1,491.17,22.04536485671997,319.6834411621094,N/A
4000,0.01,N/A,10,209,20.9,15.88,0.1574850082397461,18.827125549316406,N/A
4000,0.01,N/A,20,488,27.9,27.11,0.36705684661865234,91.60004425048828,N/A
4000,0.01,N/A,30,754,26.6,46.96,0.6998000144958496,14.057771682739258,N/A
4000,0.01,N/A,40,1120,36.6,69.12,1.2223749160766602,29.007953643798828,N/A
4000,0.01,N/A,50,1404,28.4,61.89,1.6437509059906006,18.825284957885742,N/A
4000,0.01,N/A,60,1892,48.8,52.82,2.0413780212402344,11.936966896057129,N/A
4000,0.01,N/A,70,2321,42.9,58.09,2.4649269580841064,57.56397247314453,N/A
4000,0.01,N/A,80,2744,42.3,59.79,2.894766092300415,10.44335651397705,N/A
4000,0.01,N/A,90,3186,44.2,72.3,3.398135185241699,57.386016845703125,N/A
4000,0.01,N/A,100,3706,52.0,145.85,4.336359024047852,32.42927932739258,N/A
