seed,lr,damping,global_episode,total_steps,train_mean_reward,eval_mean_reward,time_seconds,grad_norm,condition_number
300,0.05,N/A,10,177,17.7,61.6,0.4806358814239502,9.231864929199219,N/A
300,0.05,N/A,20,759,58.2,24.0,0.7771530151367188,27.28252601623535,N/A
300,0.05,N/A,30,1006,24.7,44.07,1.307978868484497,35.01704788208008,N/A
300,0.05,N/A,40,1494,48.8,99.61,2.136643886566162,63.77830123901367,N/A
300,0.05,N/A,50,2194,70.0,148.51,3.27125883102417,73.92198944091797,N/A
300,0.05,N/A,60,3221,102.7,165.09,4.733384847640991,53.47461700439453,N/A
300,0.05,N/A,70,4353,113.2,122.78,6.002009868621826,83.91352081298828,N/A
300,0.05,N/A,80,5333,98.0,202.0,7.633616924285889,158.3089599609375,N/A
300,0.05,N/A,90,6928,159.5,373.25,10.517424821853638,121.93962860107422,N/A
300,0.05,N/A,100,8657,172.9,500.0,14.112955808639526,62.73160934448242,N/A
200,0.05,N/A,10,188,18.8,21.73,0.2119460105895996,54.391075134277344,N/A
200,0.05,N/A,20,524,33.6,49.95,0.6204297542572021,34.716766357421875,N/A
200,0.05,N/A,30,949,42.5,56.87,1.2775449752807617,40.63490295410156,N/A
200,0.05,N/A,40,1507,55.8,58.35,1.8475589752197266,41.675628662109375,N/A
200,0.05,N/A,50,2157,65.0,68.14,2.432316780090332,87.17484283447266,N/A
200,0.05,N/A,60,2928,77.1,50.1,2.9231739044189453,34.43114471435547,N/A
200,0.05,N/A,70,3431,50.3,49.5,3.3573827743530273,57.67844009399414,N/A
200,0.05,N/A,80,3948,51.7,46.54,3.8931987285614014,25.92717170715332,N/A
200,0.05,N/A,90,4356,40.8,44.33,4.423028945922852,13.55798625946045,N/A
200,0.05,N/A,100,4805,44.9,47.19,4.830418825149536,36.91556167602539,N/A
200,0.05,N/A,110,5252,44.7,55.66,5.31010890007019,38.88367462158203,N/A
200,0.05,N/A,120,5785,53.3,56.38,5.792975902557373,52.74055099487305,N/A
200,0.05,N/A,130,6323,53.8,53.93,6.329651832580566,31.648048400878906,N/A
200,0.05,N/A,140,6876,55.3,52.31,6.824136972427368,9.2453031539917,N/A
200,0.05,N/A,150,7429,55.3,51.32,7.2672119140625,24.657262802124023,N/A
200,0.05,N/A,160,7946,51.7,53.86,7.716006755828857,32.41383743286133,N/A
200,0.05,N/A,170,8470,52.4,54.21,8.161918878555298,20.425884246826172,N/A
200,0.05,N/A,180,9029,55.9,56.71,8.634769916534424,11.214521408081055,N/A
200,0.05,N/A,190,9554,52.5,63.84,9.155160665512085,40.04876708984375,N/A
200,0.05,N/A,200,10157,60.3,63.54,9.6842360496521,43.78876876831055,N/A
200,0.05,N/A,210,10786,62.9,67.5,10.375232934951782,26.826969146728516,N/A
200,0.05,N/A,220,11497,71.1,71.56,11.036344766616821,15.044551849365234,N/A
200,0.05,N/A,230,12178,68.1,70.57,11.686326026916504,19.937402725219727,N/A
200,0.05,N/A,240,12868,69.0,69.55,12.266774892807007,45.0791015625,N/A
200,0.05,N/A,250,13533,66.5,68.54,12.819986820220947,30.298473358154297,N/A
200,0.05,N/A,260,14184,65.1,66.06,13.352146863937378,40.15265655517578,N/A
200,0.05,N/A,270,14782,59.8,61.82,13.846094846725464,5.880525588989258,N/A
200,0.05,N/A,280,15428,64.6,60.42,14.352267026901245,20.708145141601562,N/A
200,0.05,N/A,290,16022,59.4,64.67,14.860760688781738,41.70208740234375,N/A
200,0.05,N/A,300,16600,57.8,60.13,15.345218658447266,53.46725082397461,N/A
200,0.05,N/A,310,17171,57.1,57.61,15.805246829986572,21.453073501586914,N/A
200,0.05,N/A,320,17698,52.7,53.68,16.232783794403076,25.065385818481445,N/A
200,0.05,N/A,330,18224,52.6,51.85,16.704712867736816,12.463006973266602,N/A
200,0.05,N/A,340,18746,52.2,51.79,17.159448862075806,28.04618263244629,N/A
200,0.05,N/A,350,19266,52.0,49.47,17.621007919311523,47.06068420410156,N/A
200,0.05,N/A,360,19772,50.6,47.35,18.02901291847229,7.864960670471191,N/A
200,0.05,N/A,370,20240,46.8,44.16,18.490970849990845,31.17943000793457,N/A
200,0.05,N/A,380,20657,41.7,41.98,18.85361886024475,23.675983428955078,N/A
200,0.05,N/A,390,21065,40.8,41.25,19.196868896484375,33.469078063964844,N/A
200,0.05,N/A,400,21476,41.1,41.34,19.543213844299316,17.45621681213379,N/A
200,0.05,N/A,410,21896,42.0,41.18,19.89038586616516,5.825942516326904,N/A
200,0.05,N/A,420,22306,41.0,40.68,20.22231698036194,14.834699630737305,N/A
200,0.05,N/A,430,22700,39.4,38.32,20.535857915878296,37.63499069213867,N/A
200,0.05,N/A,440,23091,39.1,37.79,20.851542949676514,27.789770126342773,N/A
200,0.05,N/A,450,23476,38.5,36.28,21.152395009994507,19.387636184692383,N/A
200,0.05,N/A,460,23836,36.0,33.28,21.433995962142944,36.943904876708984,N/A
200,0.05,N/A,470,24175,33.9,31.81,21.697300910949707,16.26332664489746,N/A
200,0.05,N/A,480,24514,33.9,30.54,21.980034112930298,9.330795288085938,N/A
200,0.05,N/A,490,24821,30.7,30.16,22.247954845428467,20.281742095947266,N/A
200,0.05,N/A,500,25122,30.1,30.11,22.498503923416138,11.113389015197754,N/A
500,0.05,N/A,10,217,21.7,13.03,0.13273406028747559,65.59723663330078,N/A
500,0.05,N/A,20,387,17.0,28.77,0.3473320007324219,29.551511764526367,N/A
500,0.05,N/A,30,732,34.5,182.8,1.5353879928588867,90.0051040649414,N/A
500,0.05,N/A,40,1482,75.0,81.28,2.187408924102783,31.562061309814453,N/A
500,0.05,N/A,50,2036,55.4,56.14,2.7159781455993652,18.63323211669922,N/A
500,0.05,N/A,60,2524,48.8,55.61,3.1595370769500732,13.099658966064453,N/A
500,0.05,N/A,70,2955,43.1,128.02,4.194489002227783,92.07332611083984,N/A
500,0.05,N/A,80,3895,94.0,260.33,6.05204701423645,44.09577941894531,N/A
500,0.05,N/A,90,5889,199.4,500.0,9.592947006225586,83.47021484375,N/A
100,0.05,N/A,10,118,11.8,38.29,0.3145627975463867,27.849515914916992,N/A
100,0.05,N/A,20,467,34.9,25.22,0.5600628852844238,35.36915588378906,N/A
100,0.05,N/A,30,694,22.7,29.69,0.8056879043579102,19.32145881652832,N/A
100,0.05,N/A,40,993,29.9,70.41,1.5621240139007568,56.48272705078125,N/A
100,0.05,N/A,50,1666,67.3,88.99,2.2919578552246094,52.614261627197266,N/A
100,0.05,N/A,60,2378,71.2,66.06,2.8713388442993164,34.388145446777344,N/A
100,0.05,N/A,70,2944,56.6,94.9,3.610074758529663,48.94470977783203,N/A
100,0.05,N/A,80,3719,77.5,210.75,5.426405906677246,85.97306060791016,N/A
100,0.05,N/A,90,5390,167.1,287.79,7.7117156982421875,143.20860290527344,N/A
100,0.05,N/A,100,7667,227.7,135.12,9.040465831756592,123.09214782714844,N/A
100,0.05,N/A,110,9052,138.5,120.16,10.196484804153442,43.714088439941406,N/A
100,0.05,N/A,120,10179,112.7,117.07,11.282182931900024,94.71662139892578,N/A
100,0.05,N/A,130,11314,113.5,114.19,12.266820907592773,65.95912170410156,N/A
100,0.05,N/A,140,12455,114.1,117.98,13.227378845214844,30.000598907470703,N/A
100,0.05,N/A,150,13607,115.2,123.36,14.214277744293213,58.1165771484375,N/A
100,0.05,N/A,160,14777,117.0,162.47,15.424259901046753,166.27853393554688,N/A
100,0.05,N/A,170,16401,162.4,193.22,16.971905946731567,83.76627349853516,N/A
100,0.05,N/A,180,18348,194.7,384.51,19.901063919067383,134.8869171142578,N/A
100,0.05,N/A,190,22136,378.8,500.0,23.754864931106567,104.33817291259766,N/A
300,0.01,N/A,10,177,17.7,14.14,0.12185788154602051,9.231864929199219,N/A
300,0.01,N/A,20,439,26.2,24.17,0.3240530490875244,15.307994842529297,N/A
300,0.01,N/A,30,717,27.8,44.56,0.6523559093475342,23.89413833618164,N/A
300,0.01,N/A,40,1075,35.8,73.7,1.1719980239868164,23.363262176513672,N/A
300,0.01,N/A,50,1445,37.0,80.67,1.7397379875183105,15.667230606079102,N/A
300,0.01,N/A,60,2044,59.9,128.17,2.6289548873901367,59.69670104980469,N/A
300,0.01,N/A,70,2538,49.4,90.35,3.273447036743164,22.57683563232422,N/A
300,0.01,N/A,80,3192,65.4,99.5,4.0468080043792725,67.40389251708984,N/A
300,0.01,N/A,90,3896,70.4,146.86,5.174227952957153,56.89393615722656,N/A
300,0.01,N/A,100,4730,83.4,315.49,7.198337078094482,80.98817443847656,N/A
300,0.01,N/A,110,5723,99.3,302.22,9.206368207931519,123.47148895263672,N/A
300,0.01,N/A,120,6925,120.2,396.01,11.844329118728638,163.4683380126953,N/A
300,0.01,N/A,130,7970,104.5,491.54,14.918068170547485,83.14323425292969,N/A
400,0.05,N/A,10,208,20.8,23.86,0.24457597732543945,23.060388565063477,N/A
400,0.05,N/A,20,484,27.6,129.8,1.4251530170440674,67.79476928710938,N/A
400,0.05,N/A,30,1141,65.7,30.92,1.8247931003570557,46.60712814331055,N/A
400,0.05,N/A,40,1451,31.0,25.15,2.0827701091766357,23.617935180664062,N/A
400,0.05,N/A,50,1704,25.3,28.14,2.3411242961883545,35.77771759033203,N/A
400,0.05,N/A,60,1985,28.1,26.94,2.60231614112854,25.47613525390625,N/A
400,0.05,N/A,70,2263,27.8,24.02,2.836271286010742,25.472007751464844,N/A
400,0.05,N/A,80,2497,23.4,19.89,3.0312700271606445,15.636140823364258,N/A
400,0.05,N/A,90,2693,19.6,18.5,3.2117152214050293,16.247669219970703,N/A
400,0.05,N/A,100,2885,19.2,17.83,3.3847482204437256,6.45493221282959,N/A
400,0.05,N/A,110,3070,18.5,19.27,3.5572621822357178,32.83665084838867,N/A
400,0.05,N/A,120,3266,19.6,19.86,3.7399449348449707,13.707015991210938,N/A
400,0.05,N/A,130,3477,21.1,19.91,3.924272060394287,8.74985122680664,N/A
400,0.05,N/A,140,3681,20.4,20.77,4.2559449672698975,14.446897506713867,N/A
400,0.05,N/A,150,3890,20.9,23.6,4.484692096710205,30.208892822265625,N/A
400,0.05,N/A,160,4121,23.1,26.35,4.731719970703125,17.17218589782715,N/A
400,0.05,N/A,170,4382,26.1,31.41,5.20729923248291,29.715293884277344,N/A
400,0.05,N/A,180,4720,33.8,37.32,5.558808088302612,13.922284126281738,N/A
400,0.05,N/A,190,5096,37.6,44.04,5.9576990604400635,3.2962260246276855,N/A
400,0.05,N/A,200,5509,41.3,51.51,6.511479139328003,21.655189514160156,N/A
400,0.05,N/A,210,5996,48.7,67.61,7.085877180099487,30.665563583374023,N/A
400,0.05,N/A,220,6619,62.3,76.14,7.726953983306885,22.92888832092285,N/A
400,0.05,N/A,230,7460,84.1,98.72,8.56461215019226,14.69169807434082,N/A
400,0.05,N/A,240,8290,83.0,172.71,9.97223711013794,56.0228271484375,N/A
400,0.05,N/A,250,9239,94.9,183.67,11.614228963851929,64.91899871826172,N/A
400,0.05,N/A,260,10084,84.5,170.53,12.937251091003418,54.143394470214844,N/A
400,0.05,N/A,270,10897,81.3,160.25,14.162090063095093,39.92071533203125,N/A
400,0.05,N/A,280,11844,94.7,161.75,15.415886878967285,26.02300453186035,N/A
400,0.05,N/A,290,12947,110.3,148.42,16.642500162124634,10.941100120544434,N/A
400,0.05,N/A,300,13774,82.7,142.67,17.854587078094482,46.537803649902344,N/A
400,0.05,N/A,310,14666,89.2,133.03,19.030468940734863,24.41099739074707,N/A
400,0.05,N/A,320,15568,90.2,142.13,20.179877042770386,65.86848449707031,N/A
400,0.05,N/A,330,16420,85.2,151.74,21.350019216537476,22.124780654907227,N/A
400,0.05,N/A,340,17240,82.0,151.85,22.56557011604309,38.63029479980469,N/A
400,0.05,N/A,350,18095,85.5,146.13,23.69476008415222,41.6060905456543,N/A
400,0.05,N/A,360,18928,83.3,144.52,24.818178176879883,21.308624267578125,N/A
400,0.05,N/A,370,19858,93.0,146.16,25.978145122528076,29.072494506835938,N/A
400,0.05,N/A,380,20857,99.9,147.45,27.167885065078735,25.33124351501465,N/A
400,0.05,N/A,390,21700,84.3,155.17,28.37364101409912,59.463905334472656,N/A
400,0.05,N/A,400,22620,92.0,157.02,29.580413103103638,45.64820098876953,N/A
400,0.05,N/A,410,23546,92.6,157.68,30.769273281097412,26.087045669555664,N/A
400,0.05,N/A,420,24544,99.8,142.76,31.879136085510254,102.23806762695312,N/A
400,0.05,N/A,430,25484,94.0,131.02,32.94351315498352,49.854461669921875,N/A
400,0.05,N/A,440,26410,92.6,125.99,33.94252014160156,50.82301712036133,N/A
400,0.05,N/A,450,27269,85.9,113.18,34.841161012649536,20.68893814086914,N/A
400,0.05,N/A,460,28064,79.5,109.74,35.781561851501465,12.691825866699219,N/A
400,0.05,N/A,470,28888,82.4,108.5,36.63786602020264,22.05860137939453,N/A
400,0.05,N/A,480,29692,80.4,112.09,37.493309020996094,32.85636901855469,N/A
400,0.05,N/A,490,30517,82.5,143.8,38.587615966796875,121.75489807128906,N/A
400,0.05,N/A,500,31518,100.1,171.22,39.83901119232178,32.351402282714844,N/A
100,0.01,N/A,10,118,11.8,9.41,0.08292317390441895,27.849515914916992,N/A
100,0.01,N/A,20,286,16.8,9.41,0.17235803604125977,26.0389404296875,N/A
100,0.01,N/A,30,445,15.9,24.38,0.3560159206390381,25.235610961914062,N/A
100,0.01,N/A,40,767,32.2,75.0,0.8733260631561279,34.98360824584961,N/A
100,0.01,N/A,50,1032,26.5,64.32,1.3255832195281982,30.57225799560547,N/A
100,0.01,N/A,60,1339,30.7,60.55,1.7632231712341309,34.53825378417969,N/A
100,0.01,N/A,70,1807,46.8,64.7,2.2549519538879395,39.07703399658203,N/A
100,0.01,N/A,80,2189,38.2,57.72,2.68782114982605,25.43238639831543,N/A
100,0.01,N/A,90,2620,43.1,63.98,3.176254987716675,60.689857482910156,N/A
100,0.01,N/A,100,3194,57.4,72.96,3.7452921867370605,27.383983612060547,N/A
100,0.01,N/A,110,3642,44.8,97.38,4.430308103561401,37.37174987792969,N/A
100,0.01,N/A,120,4124,48.2,295.26,6.354762077331543,42.889251708984375,N/A
100,0.01,N/A,130,4896,77.2,172.84,7.548358917236328,53.664852142333984,N/A
100,0.01,N/A,140,5551,65.5,126.19,8.421800136566162,48.81638717651367,N/A
100,0.01,N/A,150,6405,85.4,163.03,9.558068037033081,108.66644287109375,N/A
100,0.01,N/A,160,7530,112.5,161.47,10.76480507850647,89.24113464355469,N/A
100,0.01,N/A,170,8430,90.0,254.29,12.45244288444519,134.6798858642578,N/A
100,0.01,N/A,180,9924,149.4,385.4,15.066155195236206,121.94148254394531,N/A
100,0.01,N/A,190,12006,208.2,493.6,18.35831618309021,179.33709716796875,N/A
200,0.01,N/A,10,188,18.8,28.38,0.22159314155578613,54.391075134277344,N/A
200,0.01,N/A,20,558,37.0,43.67,0.5682313442230225,47.639671325683594,N/A
200,0.01,N/A,30,902,34.4,31.19,0.8315141201019287,7.7502570152282715,N/A
200,0.01,N/A,40,1222,32.0,37.69,1.1312792301177979,47.224281311035156,N/A
200,0.01,N/A,50,1618,39.6,43.8,1.4932663440704346,15.354657173156738,N/A
200,0.01,N/A,60,2069,45.1,51.46,1.904576063156128,27.10462760925293,N/A
200,0.01,N/A,70,2557,48.8,61.66,2.388810157775879,63.76339340209961,N/A
200,0.01,N/A,80,3099,54.2,66.87,2.912527084350586,60.70185470581055,N/A
200,0.01,N/A,90,3668,56.9,59.91,3.4018990993499756,18.90666961669922,N/A
200,0.01,N/A,100,4173,50.5,52.38,3.8640570640563965,43.44600296020508,N/A
200,0.01,N/A,110,4756,58.3,50.46,4.294231176376343,23.505266189575195,N/A
200,0.01,N/A,120,5181,42.5,51.18,4.694858074188232,30.61716079711914,N/A
200,0.01,N/A,130,5698,51.7,58.68,5.152132272720337,74.87403869628906,N/A
200,0.01,N/A,140,6385,68.7,73.87,5.738000154495239,83.29467010498047,N/A
