seed,lr,damping,global_episode,total_steps,train_mean_reward,eval_mean_reward,time_seconds,grad_norm,condition_number
4000,0.001,0.01,10,209,20.9,38.83,0.33393001556396484,18.827125549316406,316.69342041015625
4000,0.001,0.01,20,467,25.8,234.66,1.8917109966278076,50.19977569580078,323.9736328125
4000,0.001,0.01,30,696,22.9,494.11,5.594475984573364,41.65867614746094,323.7302551269531
5000,0.001,0.01,10,176,17.6,9.41,0.13726305961608887,19.126821517944336,351.37884521484375
5000,0.001,0.01,20,371,19.5,9.41,0.282459020614624,31.696577072143555,283.4267578125
5000,0.001,0.01,30,625,25.4,9.41,0.4416329860687256,41.7285270690918,276.7403259277344
5000,0.001,0.01,40,812,18.7,9.41,0.5800681114196777,64.78988647460938,273.3179626464844
5000,0.001,0.01,50,1014,20.2,10.4,0.7318980693817139,42.31594467163086,284.5386657714844
5000,0.001,0.01,60,1256,24.2,10.45,0.893510103225708,24.25517463684082,319.74835205078125
5000,0.001,0.01,70,1574,31.8,25.18,1.1745641231536865,58.346797943115234,266.4212951660156
5000,0.001,0.01,80,1808,23.4,34.51,1.5180411338806152,72.0936508178711,370.96826171875
5000,0.001,0.01,90,2009,20.1,49.94,1.9226810932159424,68.76692199707031,406.7319030761719
5000,0.001,0.01,100,2301,29.2,126.54,2.825230121612549,72.37476348876953,294.0732116699219
5000,0.001,0.01,110,2570,26.9,91.99,3.4915051460266113,32.29096984863281,305.5163269042969
5000,0.001,0.01,120,2851,28.1,94.9,4.209843873977661,77.73665618896484,343.8955993652344
5000,0.001,0.01,130,3167,31.6,131.01,5.170749187469482,48.41902542114258,350.2147216796875
5000,0.001,0.01,140,3578,41.1,186.32,6.663338899612427,106.3062973022461,306.5088195800781
5000,0.001,0.01,150,3968,39.0,500.0,10.171592950820923,42.0896110534668,293.8678894042969
6000,0.001,0.01,10,214,21.4,98.82,0.704904317855835,34.87750244140625,323.4709167480469
6000,0.001,0.01,20,435,22.1,70.31,1.2318971157073975,54.55608367919922,327.8052062988281
