seed,lr,damping,global_episode,total_steps,train_mean_reward,eval_mean_reward,time_seconds,grad_norm,condition_number
100,0.005,0.05,10,118,11.8,9.41,0.15905499458312988,27.849515914916992,54.494773864746094
100,0.005,0.05,20,269,15.1,9.41,0.2709989547729492,42.44598388671875,94.43085479736328
100,0.005,0.05,30,432,16.3,9.41,0.3868870735168457,24.45384407043457,98.24097442626953
100,0.005,0.05,40,606,17.4,9.41,0.507709264755249,10.547586441040039,98.8038330078125
100,0.005,0.05,50,845,23.9,9.41,0.6445522308349609,37.242252349853516,78.06986999511719
100,0.005,0.05,60,1001,15.6,9.41,0.758695125579834,31.59465980529785,103.93196105957031
100,0.005,0.05,70,1310,30.9,500.0,3.65303111076355,63.918701171875,73.8171615600586
500,0.005,0.05,10,217,21.7,26.43,0.2163698673248291,65.59723663330078,55.33392333984375
500,0.005,0.05,20,416,19.9,21.75,0.40475988388061523,50.210018157958984,76.56774139404297
500,0.005,0.05,30,883,46.7,411.05,2.959096908569336,111.7984390258789,66.34495544433594
500,0.005,0.05,40,1555,67.2,500.0,5.912942886352539,61.107852935791016,57.49473571777344
400,0.005,0.05,10,208,20.8,21.29,0.24288320541381836,23.060388565063477,67.40043640136719
400,0.005,0.05,20,453,24.5,53.06,0.668708086013794,15.751534461975098,67.0631103515625
400,0.005,0.05,30,641,18.8,410.94,3.189263105392456,59.60084915161133,81.17674255371094
400,0.005,0.05,40,999,35.8,195.73,4.466739892959595,85.76160430908203,65.61109924316406
400,0.005,0.05,50,1789,79.0,270.96,6.413016080856323,161.5132293701172,85.24554443359375
400,0.005,0.05,60,3612,182.3,250.55,8.522815942764282,95.97743225097656,73.85503387451172
400,0.005,0.05,70,5510,189.8,499.05,12.082695007324219,174.04112243652344,94.94916534423828
300,0.005,0.05,10,177,17.7,9.28,0.16164183616638184,9.231864929199219,57.00570297241211
300,0.005,0.05,20,383,20.6,14.41,0.3251068592071533,39.89302444458008,53.620059967041016
300,0.005,0.05,30,635,25.2,21.3,0.5394978523254395,6.501425743103027,50.37866973876953
