seed,lr,damping,global_episode,total_steps,train_mean_reward,eval_mean_reward,time_seconds,grad_norm,condition_number
4000,1.0,N/A,10,190,19.0,16.99,6.973150968551636,3.272932291030884,N/A
4000,1.0,N/A,20,452,26.2,11.34,14.275707006454468,11.106884956359863,N/A
4000,1.0,N/A,30,698,24.6,136.58,40.32389307022095,9.286651611328125,N/A
4000,1.0,N/A,40,935,23.7,9.28,47.12820887565613,6.061007499694824,N/A
4000,1.0,N/A,50,1163,22.8,222.92,103.8164758682251,7.461106777191162,N/A
4000,1.0,N/A,60,1562,39.9,73.83,125.25047993659973,11.410479545593262,N/A
4000,1.0,N/A,70,1808,24.6,9.6,132.2569808959961,12.584786415100098,N/A
4000,1.0,N/A,80,2106,29.8,9.64,140.72593092918396,9.648713111877441,N/A
4000,1.0,N/A,90,2290,18.4,10.76,146.65389394760132,6.175576686859131,N/A
4000,1.0,N/A,100,2448,15.8,10.12,151.91492414474487,1.9196398258209229,N/A
4000,1.0,N/A,110,2601,15.3,10.33,156.92990112304688,3.0592339038848877,N/A
4000,1.0,N/A,120,2798,19.7,53.59,170.50439190864563,6.573468208312988,N/A
4000,1.0,N/A,130,3017,21.9,36.17,181.73233890533447,13.213787078857422,N/A
4000,1.0,N/A,140,3361,34.4,58.86,199.7338171005249,9.56882381439209,N/A
4000,1.0,N/A,150,3699,33.8,56.2,216.73214888572693,8.111324310302734,N/A
4000,1.0,N/A,160,4068,36.9,159.36,250.52709984779358,15.560284614562988,N/A
4000,1.0,N/A,170,4625,55.7,134.24,287.2022340297699,11.760601043701172,N/A
4000,1.0,N/A,180,5042,41.7,108.86,315.2081890106201,13.778128623962402,N/A
4000,1.0,N/A,190,5412,37.0,123.07,342.6417977809906,13.86395263671875,N/A
4000,1.0,N/A,200,5843,43.1,55.99,360.61820793151855,22.024089813232422,N/A
4000,1.0,N/A,210,6043,20.0,9.47,366.2751622200012,4.770991802215576,N/A
4000,1.0,N/A,220,6257,21.4,9.64,372.24931502342224,11.027652740478516,N/A
4000,1.0,N/A,230,6399,14.2,11.86,377.22544503211975,3.0640408992767334,N/A
4000,1.0,N/A,240,6574,17.5,9.44,382.34110593795776,12.211094856262207,N/A
4000,1.0,N/A,250,6744,17.0,9.38,387.5618722438812,3.9106528759002686,N/A
4000,1.0,N/A,260,6882,13.8,9.96,391.8039710521698,7.159209728240967,N/A
4000,1.0,N/A,270,6999,11.7,28.2,398.6405692100525,7.845121383666992,N/A
4000,1.0,N/A,280,7292,29.3,17.73,407.8794529438019,14.73483943939209,N/A
4000,1.0,N/A,290,7491,19.9,13.64,414.3653419017792,9.287283897399902,N/A
4000,1.0,N/A,300,7709,21.8,25.06,422.87344694137573,7.2934441566467285,N/A
4000,1.0,N/A,310,7974,26.5,17.03,431.34367299079895,3.6998536586761475,N/A
4000,1.0,N/A,320,8180,20.6,10.44,437.50464510917664,5.770501613616943,N/A
4000,1.0,N/A,330,8408,22.8,10.85,444.04417991638184,3.7066688537597656,N/A
4000,1.0,N/A,340,8651,24.3,52.57,457.7356789112091,7.329190731048584,N/A
4000,1.0,N/A,350,8859,20.8,36.13,467.78667283058167,7.797715663909912,N/A
4000,1.0,N/A,360,9075,21.6,23.48,475.90884709358215,6.009880065917969,N/A
4000,1.0,N/A,370,9323,24.8,9.41,482.5280690193176,5.58666467666626,N/A
4000,1.0,N/A,380,9510,18.7,9.41,487.9015438556671,4.934248447418213,N/A
4000,1.0,N/A,390,9738,22.8,9.41,493.93680906295776,7.897000789642334,N/A
4000,1.0,N/A,400,9987,24.9,429.19,566.1994619369507,15.713794708251953,N/A
4000,1.0,N/A,410,10291,30.4,493.15,651.9203131198883,9.091859817504883,N/A
3000,1.0,N/A,10,181,18.1,11.28,5.893754005432129,4.200885772705078,N/A
3000,1.0,N/A,20,474,29.3,12.64,13.988628149032593,8.486980438232422,N/A
3000,1.0,N/A,30,725,25.1,105.19,35.775269985198975,11.050904273986816,N/A
3000,1.0,N/A,40,985,26.0,59.88,52.341225147247314,9.064486503601074,N/A
3000,1.0,N/A,50,1317,33.2,168.33,101.20252013206482,12.584502220153809,N/A
3000,1.0,N/A,60,1677,36.0,79.06,122.55085802078247,12.707879066467285,N/A
3000,1.0,N/A,70,2009,33.2,140.81,153.58329105377197,7.150990962982178,N/A
3000,1.0,N/A,80,2383,37.4,149.9,187.65103602409363,10.27974796295166,N/A
3000,1.0,N/A,90,2805,42.2,89.89,212.44637513160706,13.777840614318848,N/A
3000,1.0,N/A,100,3317,51.2,97.04,239.3929419517517,14.434955596923828,N/A
3000,1.0,N/A,110,3754,43.7,112.16,269.38246512413025,17.214046478271484,N/A
3000,1.0,N/A,120,4312,55.8,460.94,357.92784309387207,21.5823917388916,N/A
3000,1.0,N/A,130,5283,97.1,127.85,398.406455039978,15.730648040771484,N/A
3000,1.0,N/A,140,5776,49.3,94.89,424.38796615600586,13.000032424926758,N/A
3000,1.0,N/A,150,6120,34.4,106.53,448.7308728694916,15.059149742126465,N/A
3000,1.0,N/A,160,6386,26.6,81.55,467.49044585227966,15.667288780212402,N/A
3000,1.0,N/A,170,6833,44.7,81.08,489.5648331642151,13.397355079650879,N/A
3000,1.0,N/A,180,7132,29.9,142.27,517.5431430339813,7.363644599914551,N/A
3000,1.0,N/A,190,7448,31.6,309.31,573.04159283638,10.013420104980469,N/A
3000,1.0,N/A,200,7848,40.0,136.41,603.9683890342712,13.476917266845703,N/A
3000,1.0,N/A,210,8201,35.3,496.8,691.2425410747528,16.994245529174805,N/A
1000,1.0,N/A,10,172,17.2,37.52,9.854405164718628,2.977966070175171,N/A
1000,1.0,N/A,20,631,45.9,14.15,21.749932050704956,8.918558120727539,N/A
1000,1.0,N/A,30,773,14.2,17.05,27.28056502342224,4.258280277252197,N/A
1000,1.0,N/A,40,1018,24.5,14.58,34.59363102912903,10.641814231872559,N/A
1000,1.0,N/A,50,1234,21.6,16.37,41.67010998725891,3.872441530227661,N/A
1000,1.0,N/A,60,1428,19.4,15.23,48.65958499908447,6.859537601470947,N/A
1000,1.0,N/A,70,1596,16.8,11.87,56.0850670337677,8.288496971130371,N/A
1000,1.0,N/A,80,1800,20.4,109.86,87.88566517829895,7.562961101531982,N/A
1000,1.0,N/A,90,2016,21.6,63.64,106.9779372215271,6.807348728179932,N/A
1000,1.0,N/A,100,2279,26.3,35.8,118.76159405708313,12.418878555297852,N/A
1000,1.0,N/A,110,2542,26.3,150.83,149.41751289367676,12.424962997436523,N/A
1000,1.0,N/A,120,2778,23.6,95.15,170.8114218711853,5.84260892868042,N/A
1000,1.0,N/A,130,3086,30.8,48.42,186.0753571987152,5.097386837005615,N/A
1000,1.0,N/A,140,3406,32.0,33.94,199.24204421043396,9.196670532226562,N/A
1000,1.0,N/A,150,3676,27.0,21.36,208.77400493621826,2.59877347946167,N/A
1000,1.0,N/A,160,3907,23.1,21.22,217.50757598876953,4.891393661499023,N/A
1000,1.0,N/A,170,4092,18.5,9.5,223.11972618103027,2.9338719844818115,N/A
1000,1.0,N/A,180,4314,22.2,10.66,229.56302213668823,6.941950798034668,N/A
1000,1.0,N/A,190,4479,16.5,28.29,237.6891691684723,9.222309112548828,N/A
1000,1.0,N/A,200,4722,24.3,48.44,250.6668360233307,13.997946739196777,N/A
1000,1.0,N/A,210,4997,27.5,84.36,272.39845299720764,7.672019958496094,N/A
1000,1.0,N/A,220,5369,37.2,169.89,309.68350100517273,6.460852146148682,N/A
1000,1.0,N/A,230,5638,26.9,129.88,336.2714922428131,8.783297538757324,N/A
1000,1.0,N/A,240,6017,37.9,102.12,360.01123809814453,15.327948570251465,N/A
1000,1.0,N/A,250,6447,43.0,86.26,382.7174699306488,10.74642276763916,N/A
1000,1.0,N/A,260,6896,44.9,279.74,436.5344612598419,13.234585762023926,N/A
1000,1.0,N/A,270,7262,36.6,157.38,468.99230313301086,8.404763221740723,N/A
1000,1.0,N/A,280,7736,47.4,92.51,492.99369502067566,29.174762725830078,N/A
1000,1.0,N/A,290,8076,34.0,165.39,525.6768791675568,17.967342376708984,N/A
1000,1.0,N/A,300,8498,42.2,135.69,555.7661309242249,16.53605842590332,N/A
1000,1.0,N/A,310,8768,27.0,94.99,577.1252121925354,9.357673645019531,N/A
1000,1.0,N/A,320,9036,26.8,84.44,596.3662760257721,14.412044525146484,N/A
1000,1.0,N/A,330,9265,22.9,99.63,617.143482208252,8.605212211608887,N/A
1000,1.0,N/A,340,9637,37.2,86.43,638.5619831085205,10.75814151763916,N/A
1000,1.0,N/A,350,9951,31.4,121.55,664.4801049232483,8.492752075195312,N/A
1000,1.0,N/A,360,10183,23.2,9.86,671.1127140522003,5.008017539978027,N/A
1000,1.0,N/A,370,10369,18.6,9.41,676.5431442260742,2.4046692848205566,N/A
1000,1.0,N/A,380,10558,18.9,9.41,682.0308501720428,3.2363176345825195,N/A
1000,1.0,N/A,390,10747,18.9,9.41,687.5708091259003,3.437734603881836,N/A
1000,1.0,N/A,400,10938,19.1,11.22,693.2113790512085,4.837482929229736,N/A
1000,1.0,N/A,410,11140,20.2,58.13,706.253977060318,12.480621337890625,N/A
1000,1.0,N/A,420,11468,32.8,42.41,719.6074931621552,6.157079219818115,N/A
1000,1.0,N/A,430,11961,49.3,36.67,735.7776260375977,3.8666162490844727,N/A
1000,1.0,N/A,440,12410,44.9,20.59,748.5094771385193,6.0888895988464355,N/A
1000,1.0,N/A,450,12635,22.5,14.79,756.2580261230469,5.007676124572754,N/A
1000,1.0,N/A,460,13032,39.7,17.65,768.229779958725,13.431553840637207,N/A
1000,1.0,N/A,470,13370,33.8,20.36,779.7385022640228,6.093619346618652,N/A
1000,1.0,N/A,480,13611,24.1,22.6,788.9950530529022,10.385994911193848,N/A
1000,1.0,N/A,490,13926,31.5,42.69,803.6327121257782,7.226556777954102,N/A
1000,1.0,N/A,500,14187,26.1,44.01,816.4943742752075,6.703347206115723,N/A
2000,1.0,N/A,10,176,17.6,9.47,5.444370269775391,7.839322090148926,N/A
2000,1.0,N/A,20,488,31.2,39.69,18.105188131332397,13.418658256530762,N/A
2000,1.0,N/A,30,689,20.1,351.83,91.12852501869202,6.218896389007568,N/A
2000,1.0,N/A,40,974,28.5,9.91,101.61046028137207,8.824751853942871,N/A
2000,1.0,N/A,50,1198,22.4,25.7,111.11347723007202,11.848718643188477,N/A
2000,1.0,N/A,60,1455,25.7,32.9,122.27212524414062,8.129693031311035,N/A
2000,1.0,N/A,70,1652,19.7,180.95,156.50069618225098,4.388165473937988,N/A
2000,1.0,N/A,80,1850,19.8,9.97,162.65344905853271,2.2442376613616943,N/A
2000,1.0,N/A,90,2030,18.0,9.71,168.1917281150818,2.5873661041259766,N/A
2000,1.0,N/A,100,2236,20.6,18.42,176.01300621032715,4.550837993621826,N/A
2000,1.0,N/A,110,2420,18.4,38.05,186.71543908119202,6.80076789855957,N/A
2000,1.0,N/A,120,2663,24.3,114.16,211.29175114631653,11.100627899169922,N/A
2000,1.0,N/A,130,2974,31.1,94.73,233.43777513504028,7.479077339172363,N/A
2000,1.0,N/A,140,3229,25.5,13.65,240.99711108207703,13.169864654541016,N/A
2000,1.0,N/A,150,3435,20.6,9.72,247.1240041255951,7.997087001800537,N/A
2000,1.0,N/A,160,3608,17.3,10.34,252.45945715904236,3.6406772136688232,N/A
2000,1.0,N/A,170,3761,15.3,17.04,258.415766954422,9.872038841247559,N/A
2000,1.0,N/A,180,3921,16.0,9.28,264.93015909194946,9.757660865783691,N/A
2000,1.0,N/A,190,4209,28.8,11.89,273.6983320713043,9.414960861206055,N/A
2000,1.0,N/A,200,4563,35.4,57.01,291.48749017715454,6.8495635986328125,N/A
2000,1.0,N/A,210,4811,24.8,22.53,300.92913007736206,10.279521942138672,N/A
2000,1.0,N/A,220,5031,22.0,200.23,337.74656891822815,7.538576602935791,N/A
2000,1.0,N/A,230,5333,30.2,107.74,360.61356592178345,7.6115403175354,N/A
2000,1.0,N/A,240,5655,32.2,347.45,421.8041160106659,14.909822463989258,N/A
2000,1.0,N/A,250,6024,36.9,200.13,461.2474579811096,12.710905075073242,N/A
2000,1.0,N/A,260,6385,36.1,170.64,494.92638421058655,10.410840034484863,N/A
2000,1.0,N/A,270,6733,34.8,124.91,521.2071800231934,10.513561248779297,N/A
2000,1.0,N/A,280,6964,23.1,104.87,542.1375439167023,4.527533531188965,N/A
2000,1.0,N/A,290,7295,33.1,112.68,567.1580541133881,12.748649597167969,N/A
2000,1.0,N/A,300,7609,31.4,163.92,600.0222761631012,10.348915100097656,N/A
2000,1.0,N/A,310,7973,36.4,153.74,631.9058821201324,15.917569160461426,N/A
2000,1.0,N/A,320,8379,40.6,171.1,667.6802899837494,9.3306303024292,N/A
2000,1.0,N/A,330,8776,39.7,230.66,711.6041781902313,18.759361267089844,N/A
2000,1.0,N/A,340,9047,27.1,19.4,720.1934342384338,5.7094292640686035,N/A
2000,1.0,N/A,350,9255,20.8,28.97,729.2075109481812,9.120409965515137,N/A
2000,1.0,N/A,360,9449,19.4,17.59,735.8676211833954,3.5483973026275635,N/A
2000,1.0,N/A,370,9836,38.7,33.2,749.2616188526154,5.537439823150635,N/A
2000,1.0,N/A,380,10243,40.7,158.05,785.044976234436,13.808653831481934,N/A
2000,1.0,N/A,390,10548,30.5,27.96,796.9845349788666,9.53120231628418,N/A
2000,1.0,N/A,400,10719,17.1,31.97,806.0948350429535,7.301790237426758,N/A
2000,1.0,N/A,410,10922,20.3,83.25,824.0875971317291,15.76971435546875,N/A
2000,1.0,N/A,420,11111,18.9,79.75,841.3359041213989,14.460954666137695,N/A
2000,1.0,N/A,430,11433,32.2,99.19,864.8048481941223,18.355266571044922,N/A
2000,1.0,N/A,440,11743,31.0,188.86,904.1402611732483,12.314448356628418,N/A
2000,1.0,N/A,450,12311,56.8,122.08,937.3183600902557,15.842111587524414,N/A
2000,1.0,N/A,460,12744,43.3,93.66,964.2577230930328,11.113086700439453,N/A
2000,1.0,N/A,470,13124,38.0,50.72,983.1217012405396,14.79662036895752,N/A
2000,1.0,N/A,480,13360,23.6,9.28,990.4221529960632,8.249858856201172,N/A
2000,1.0,N/A,490,13587,22.7,9.28,997.8628730773926,9.615448951721191,N/A
2000,1.0,N/A,500,13802,21.5,9.28,1005.1570422649384,7.518246173858643,N/A
6000,1.0,N/A,10,170,17.0,320.49,53.55751585960388,6.861289978027344,N/A
6000,1.0,N/A,20,488,31.8,16.12,63.22852897644043,14.379389762878418,N/A
6000,1.0,N/A,30,731,24.3,46.89,76.4690158367157,5.804294109344482,N/A
6000,1.0,N/A,40,985,25.4,46.29,90.40455985069275,8.163991928100586,N/A
6000,1.0,N/A,50,1203,21.8,31.34,101.0100679397583,12.238723754882812,N/A
6000,1.0,N/A,60,1550,34.7,176.33,138.48635697364807,8.873337745666504,N/A
6000,1.0,N/A,70,1889,33.9,106.51,163.6099569797516,6.08889627456665,N/A
6000,1.0,N/A,80,2167,27.8,24.33,173.84012985229492,4.319815158843994,N/A
6000,1.0,N/A,90,2413,24.6,12.75,181.61958003044128,7.32438850402832,N/A
6000,1.0,N/A,100,2561,14.8,9.93,187.0675709247589,3.4238104820251465,N/A
6000,1.0,N/A,110,2696,13.5,49.15,198.7006528377533,4.696771621704102,N/A
6000,1.0,N/A,120,2856,16.0,104.51,220.81763100624084,4.4693708419799805,N/A
6000,1.0,N/A,130,3065,20.9,94.95,240.94779992103577,5.804166793823242,N/A
6000,1.0,N/A,140,3378,31.3,99.37,264.3371579647064,6.601259708404541,N/A
6000,1.0,N/A,150,3749,37.1,86.38,290.8934578895569,10.01934814453125,N/A
6000,1.0,N/A,160,4064,31.5,202.99,334.90971088409424,12.975415229797363,N/A
6000,1.0,N/A,170,4500,43.6,81.82,357.20108294487,12.142593383789062,N/A
6000,1.0,N/A,180,4868,36.8,162.66,389.725790977478,23.92926788330078,N/A
6000,1.0,N/A,190,5220,35.2,94.59,411.9024107456207,12.04179859161377,N/A
6000,1.0,N/A,200,5591,37.1,51.22,427.5828649997711,9.141297340393066,N/A
6000,1.0,N/A,210,5900,30.9,248.49,474.83206486701965,13.382100105285645,N/A
6000,1.0,N/A,220,6357,45.7,151.3,510.38721895217896,12.171544075012207,N/A
6000,1.0,N/A,230,6751,39.4,135.22,541.6627669334412,9.243172645568848,N/A
6000,1.0,N/A,240,7161,41.0,149.43,574.3745317459106,14.627880096435547,N/A
6000,1.0,N/A,250,7539,37.8,153.44,606.0140018463135,8.047322273254395,N/A
6000,1.0,N/A,260,7964,42.5,492.77,695.8001828193665,17.434062957763672,N/A
7000,1.0,N/A,10,342,34.2,9.34,9.053887844085693,9.962870597839355,N/A
7000,1.0,N/A,20,519,17.7,37.02,19.197993993759155,4.381477355957031,N/A
7000,1.0,N/A,30,727,20.8,45.49,31.161137104034424,7.620146751403809,N/A
7000,1.0,N/A,40,973,24.6,15.66,39.2854540348053,14.297744750976562,N/A
7000,1.0,N/A,50,1222,24.9,19.31,47.869619846343994,9.836797714233398,N/A
7000,1.0,N/A,60,1477,25.5,9.41,55.46304392814636,4.971902370452881,N/A
7000,1.0,N/A,70,1637,16.0,15.64,61.873013973236084,10.628084182739258,N/A
7000,1.0,N/A,80,1890,25.3,13.81,70.15950679779053,10.341202735900879,N/A
7000,1.0,N/A,90,2139,24.9,19.11,79.4031548500061,7.018939971923828,N/A
7000,1.0,N/A,100,2382,24.3,32.35,90.55715608596802,7.86599588394165,N/A
7000,1.0,N/A,110,2641,25.9,55.73,105.93744778633118,8.803210258483887,N/A
7000,1.0,N/A,120,2919,27.8,50.0,119.8371410369873,5.553467750549316,N/A
7000,1.0,N/A,130,3189,27.0,10.46,127.60652804374695,4.4159464836120605,N/A
7000,1.0,N/A,140,3422,23.3,11.31,134.35286021232605,7.5475544929504395,N/A
7000,1.0,N/A,150,3601,17.9,37.72,146.73960208892822,9.862607955932617,N/A
7000,1.0,N/A,160,3955,35.4,44.05,163.39677691459656,10.560986518859863,N/A
7000,1.0,N/A,170,4303,34.8,178.85,204.5099492073059,9.283709526062012,N/A
7000,1.0,N/A,180,4581,27.8,59.46,220.1178789138794,5.49344539642334,N/A
7000,1.0,N/A,190,4823,24.2,51.73,233.3138279914856,5.927059173583984,N/A
7000,1.0,N/A,200,5122,29.9,30.31,244.2615568637848,13.200148582458496,N/A
7000,1.0,N/A,210,5365,24.3,102.58,264.78826212882996,7.0632004737854,N/A
7000,1.0,N/A,220,5680,31.5,129.07,291.28443694114685,9.287586212158203,N/A
7000,1.0,N/A,230,5993,31.3,132.79,318.67673206329346,10.297683715820312,N/A
7000,1.0,N/A,240,6336,34.3,67.93,337.0929720401764,13.836280822753906,N/A
7000,1.0,N/A,250,6635,29.9,126.66,364.10682582855225,12.25561237335205,N/A
7000,1.0,N/A,260,6949,31.4,82.91,385.20771193504333,9.059828758239746,N/A
7000,1.0,N/A,270,7249,30.0,109.13,409.92415714263916,6.301933765411377,N/A
7000,1.0,N/A,280,7559,31.0,102.04,433.12066411972046,8.380584716796875,N/A
7000,1.0,N/A,290,7951,39.2,169.37,467.34161496162415,23.18335723876953,N/A
7000,1.0,N/A,300,8460,50.9,292.52,525.0989348888397,9.223249435424805,N/A
7000,1.0,N/A,310,8755,29.5,18.55,534.9902539253235,10.524702072143555,N/A
7000,1.0,N/A,320,9002,24.7,9.86,542.1525900363922,11.055355072021484,N/A
7000,1.0,N/A,330,9236,23.4,9.28,548.8894288539886,8.876471519470215,N/A
7000,1.0,N/A,340,9437,20.1,9.28,554.7674300670624,4.381833076477051,N/A
7000,1.0,N/A,350,9671,23.4,9.28,561.5844440460205,5.067127704620361,N/A
7000,1.0,N/A,360,9932,26.1,10.14,568.9562680721283,6.731534957885742,N/A
7000,1.0,N/A,370,10154,22.2,9.55,575.1500289440155,5.952184677124023,N/A
7000,1.0,N/A,380,10324,17.0,9.97,580.5401830673218,2.0275611877441406,N/A
7000,1.0,N/A,390,10566,24.2,43.37,592.2516570091248,5.327817916870117,N/A
7000,1.0,N/A,400,10807,24.1,101.49,612.7217090129852,6.358007907867432,N/A
7000,1.0,N/A,410,11134,32.7,500.0,696.1502990722656,8.945772171020508,N/A
9000,1.0,N/A,10,151,15.1,70.42,14.410471200942993,9.017062187194824,N/A
9000,1.0,N/A,20,413,26.2,9.43,21.358883142471313,8.628166198730469,N/A
9000,1.0,N/A,30,602,18.9,206.8,56.77548694610596,7.771723747253418,N/A
9000,1.0,N/A,40,940,33.8,484.08,139.78326606750488,11.024003028869629,N/A
8000,1.0,N/A,10,257,25.7,9.41,7.784719228744507,8.278606414794922,N/A
8000,1.0,N/A,20,438,18.1,17.1,14.698292016983032,3.2366859912872314,N/A
8000,1.0,N/A,30,702,26.4,15.4,22.976996898651123,8.97133731842041,N/A
8000,1.0,N/A,40,957,25.5,9.54,30.052350997924805,6.889950275421143,N/A
8000,1.0,N/A,50,1185,22.8,57.77,43.617764949798584,5.575571060180664,N/A
8000,1.0,N/A,60,1380,19.5,29.05,52.23105597496033,6.282224178314209,N/A
8000,1.0,N/A,70,1610,23.0,31.75,61.77386713027954,4.918619155883789,N/A
8000,1.0,N/A,80,1848,23.8,51.75,74.39896202087402,8.830480575561523,N/A
8000,1.0,N/A,90,2096,24.8,89.35,93.25655198097229,8.307635307312012,N/A
8000,1.0,N/A,100,2450,35.4,25.99,104.74331188201904,4.692028522491455,N/A
8000,1.0,N/A,110,2938,48.8,21.07,118.6841721534729,8.729280471801758,N/A
8000,1.0,N/A,120,3137,19.9,13.9,125.04571390151978,10.436697959899902,N/A
8000,1.0,N/A,130,3327,19.0,10.15,130.73350977897644,5.98641300201416,N/A
8000,1.0,N/A,140,3547,22.0,13.44,137.7331099510193,8.590028762817383,N/A
8000,1.0,N/A,150,3830,28.3,13.05,145.9842700958252,12.237923622131348,N/A
8000,1.0,N/A,160,4116,28.6,33.03,157.4259090423584,7.138304710388184,N/A
8000,1.0,N/A,170,4384,26.8,109.11,181.1545009613037,10.375138282775879,N/A
8000,1.0,N/A,180,4741,35.7,81.95,203.0637719631195,10.345259666442871,N/A
8000,1.0,N/A,190,4995,25.4,81.32,221.92339301109314,9.74283504486084,N/A
8000,1.0,N/A,200,5213,21.8,14.04,229.08567881584167,11.8748140335083,N/A
8000,1.0,N/A,210,5469,25.6,25.96,238.76096200942993,10.992630958557129,N/A
8000,1.0,N/A,220,5658,18.9,47.13,250.05339288711548,3.573845148086548,N/A
8000,1.0,N/A,230,5889,23.1,51.52,262.63763785362244,2.717576742172241,N/A
8000,1.0,N/A,240,6100,21.1,30.9,271.6487920284271,13.0871000289917,N/A
8000,1.0,N/A,250,6417,31.7,81.17,290.67704916000366,11.819881439208984,N/A
8000,1.0,N/A,260,6640,22.3,10.95,297.1182909011841,6.019864082336426,N/A
8000,1.0,N/A,270,6869,22.9,9.28,303.388249874115,8.727916717529297,N/A
8000,1.0,N/A,280,7102,23.3,17.22,311.3322288990021,6.4735236167907715,N/A
8000,1.0,N/A,290,7410,30.8,21.7,321.4824929237366,7.428203105926514,N/A
8000,1.0,N/A,300,7599,18.9,11.97,327.60561990737915,3.471705675125122,N/A
8000,1.0,N/A,310,7802,20.3,11.05,333.88100600242615,7.564061641693115,N/A
8000,1.0,N/A,320,8049,24.7,16.38,342.22199606895447,7.9400248527526855,N/A
8000,1.0,N/A,330,8313,26.4,468.58,421.98062896728516,8.82038402557373,N/A
8000,1.0,N/A,340,8702,38.9,140.96,451.31600999832153,15.550658226013184,N/A
8000,1.0,N/A,350,9111,40.9,173.92,486.67801094055176,14.729841232299805,N/A
8000,1.0,N/A,360,9734,62.3,500.0,576.9335980415344,17.88239097595215,N/A
11000,1.0,N/A,10,359,35.9,9.41,9.094969987869263,10.36548900604248,N/A
11000,1.0,N/A,20,639,28.0,10.77,16.743860006332397,15.063067436218262,N/A
11000,1.0,N/A,30,994,35.5,14.73,26.507959127426147,8.059791564941406,N/A
11000,1.0,N/A,40,1329,33.5,22.34,37.04944610595703,7.812424182891846,N/A
11000,1.0,N/A,50,1564,23.5,13.04,43.84121513366699,4.493466854095459,N/A
11000,1.0,N/A,60,1781,21.7,13.01,50.337653160095215,3.6453442573547363,N/A
11000,1.0,N/A,70,2036,25.5,11.89,57.35567283630371,13.908446311950684,N/A
11000,1.0,N/A,80,2253,21.7,11.2,63.82277297973633,5.133301258087158,N/A
11000,1.0,N/A,90,2424,17.1,9.41,68.93102097511292,3.6390221118927,N/A
11000,1.0,N/A,100,2660,23.6,11.43,75.59928703308105,4.021857261657715,N/A
11000,1.0,N/A,110,2800,14.0,11.62,80.40387201309204,6.467170715332031,N/A
11000,1.0,N/A,120,2937,13.7,10.1,84.97169995307922,4.597194194793701,N/A
11000,1.0,N/A,130,3109,17.2,21.86,92.09727597236633,3.602534055709839,N/A
11000,1.0,N/A,140,3278,16.9,80.8,107.79615712165833,5.299137592315674,N/A
11000,1.0,N/A,150,3625,34.7,283.33,158.26995587348938,14.092367172241211,N/A
11000,1.0,N/A,160,4218,59.3,500.0,246.5709798336029,18.399085998535156,N/A
5000,1.0,N/A,10,139,13.9,82.92,16.370712995529175,6.5628886222839355,N/A
5000,1.0,N/A,20,361,22.2,91.3,35.462555170059204,8.202208518981934,N/A
5000,1.0,N/A,30,582,22.1,25.55,44.05089092254639,6.490025043487549,N/A
5000,1.0,N/A,40,773,19.1,94.88,62.38253688812256,12.632414817810059,N/A
5000,1.0,N/A,50,1000,22.7,118.92,85.7414698600769,5.391672134399414,N/A
5000,1.0,N/A,60,1335,33.5,30.61,97.68962979316711,11.556492805480957,N/A
5000,1.0,N/A,70,1683,34.8,83.69,120.00949907302856,19.389585494995117,N/A
5000,1.0,N/A,80,1983,30.0,47.89,135.0567009449005,9.324653625488281,N/A
5000,1.0,N/A,90,2277,29.4,36.69,148.2880299091339,8.918919563293457,N/A
5000,1.0,N/A,100,2590,31.3,131.92,176.92965388298035,5.689468860626221,N/A
5000,1.0,N/A,110,2924,33.4,215.2,220.24448990821838,8.555068016052246,N/A
5000,1.0,N/A,120,3318,39.4,49.23,238.19472789764404,8.660571098327637,N/A
5000,1.0,N/A,130,3773,45.5,392.21,316.59259700775146,11.770781517028809,N/A
5000,1.0,N/A,140,4256,48.3,145.36,356.0201780796051,7.6700520515441895,N/A
5000,1.0,N/A,150,4658,40.2,73.03,377.53280878067017,11.603239059448242,N/A
5000,1.0,N/A,160,5025,36.7,71.26,396.31202697753906,11.624590873718262,N/A
5000,1.0,N/A,170,5293,26.8,115.69,419.7227449417114,11.467041969299316,N/A
5000,1.0,N/A,180,5733,44.0,57.78,437.7668888568878,11.423684120178223,N/A
5000,1.0,N/A,190,5932,19.9,60.7,451.4031558036804,2.693899393081665,N/A
5000,1.0,N/A,200,6180,24.8,36.87,462.3736181259155,13.792537689208984,N/A
5000,1.0,N/A,210,6549,36.9,89.19,484.43639492988586,14.469067573547363,N/A
5000,1.0,N/A,220,6920,37.1,165.45,519.6555850505829,14.094614028930664,N/A
5000,1.0,N/A,230,7487,56.7,66.03,543.370982170105,32.16908645629883,N/A
5000,1.0,N/A,240,7954,46.7,67.43,565.048210144043,17.223438262939453,N/A
5000,1.0,N/A,250,8278,32.4,146.12,596.3011000156403,18.942108154296875,N/A
5000,1.0,N/A,260,8610,33.2,195.19,633.6318471431732,11.048979759216309,N/A
5000,1.0,N/A,270,8889,27.9,151.85,663.2413308620453,8.935513496398926,N/A
