seed,lr,damping,global_episode,total_steps,train_mean_reward,eval_mean_reward,time_seconds,grad_norm,condition_number
300,5.0,N/A,10,246,24.6,345.21,64.4739978313446,4.672806739807129,N/A
300,5.0,N/A,20,481,23.5,34.84,74.1433048248291,7.769573211669922,N/A
300,5.0,N/A,30,669,18.8,9.41,78.88399267196655,10.000720024108887,N/A
300,5.0,N/A,40,870,20.1,10.84,84.21175980567932,7.711047649383545,N/A
300,5.0,N/A,50,1069,19.9,9.48,89.02922701835632,6.630868434906006,N/A
300,5.0,N/A,60,1232,16.3,10.6,93.59100294113159,2.307567596435547,N/A
300,5.0,N/A,70,1420,18.8,10.09,98.48659467697144,3.713045597076416,N/A
300,5.0,N/A,80,1607,18.7,9.41,103.30352592468262,5.839847564697266,N/A
300,5.0,N/A,90,1810,20.3,9.41,108.24656271934509,7.259631633758545,N/A
300,5.0,N/A,100,2018,20.8,9.28,113.2970769405365,9.104769706726074,N/A
300,5.0,N/A,110,2170,15.2,10.36,117.51373171806335,1.9982644319534302,N/A
300,5.0,N/A,120,2345,17.5,9.41,122.20973801612854,3.557962656021118,N/A
300,5.0,N/A,130,2491,14.6,9.58,126.41401982307434,3.951647996902466,N/A
300,5.0,N/A,140,2627,13.6,9.52,130.48938703536987,4.540457248687744,N/A
300,5.0,N/A,150,2823,19.6,8.78,135.54824495315552,4.608875274658203,N/A
300,5.0,N/A,160,3000,17.7,9.51,140.36579084396362,6.115996837615967,N/A
300,5.0,N/A,170,3247,24.7,9.54,146.3943088054657,6.356400489807129,N/A
300,5.0,N/A,180,3478,23.1,12.66,153.77559280395508,6.270249366760254,N/A
300,5.0,N/A,190,3650,17.2,9.41,159.0246777534485,4.300949573516846,N/A
300,5.0,N/A,200,3857,20.7,9.28,165.2603998184204,11.466704368591309,N/A
300,5.0,N/A,210,4079,22.2,30.41,175.20222187042236,5.26993989944458,N/A
300,5.0,N/A,220,4276,19.7,9.28,181.35271787643433,8.330967903137207,N/A
300,5.0,N/A,230,4544,26.8,10.03,189.01449966430664,5.61068058013916,N/A
300,5.0,N/A,240,4703,15.9,50.92,200.75309085845947,7.358828067779541,N/A
300,5.0,N/A,250,4849,14.6,14.66,206.61939883232117,7.03037691116333,N/A
300,5.0,N/A,260,5059,21.0,27.41,216.32132387161255,5.626987934112549,N/A
300,5.0,N/A,270,5269,21.0,11.84,224.95121788978577,7.440230846405029,N/A
300,5.0,N/A,280,5506,23.7,22.08,235.46804785728455,7.831672668457031,N/A
300,5.0,N/A,290,5708,20.2,9.41,241.94584798812866,4.748404026031494,N/A
300,5.0,N/A,300,5953,24.5,9.77,248.31390476226807,11.53349781036377,N/A
300,5.0,N/A,310,6120,16.7,112.33,267.6457989215851,3.940570831298828,N/A
300,5.0,N/A,320,6318,19.8,9.28,272.6471118927002,7.337530612945557,N/A
300,5.0,N/A,330,6537,21.9,45.18,283.0771188735962,9.227014541625977,N/A
300,5.0,N/A,340,6751,21.4,21.0,291.0813477039337,8.359789848327637,N/A
300,5.0,N/A,350,7022,27.1,9.41,299.727481842041,7.9888763427734375,N/A
300,5.0,N/A,360,7197,17.5,9.44,304.89387488365173,2.138963222503662,N/A
300,5.0,N/A,370,7405,20.8,126.11,327.1052260398865,5.2617106437683105,N/A
300,5.0,N/A,380,7757,35.2,9.36,335.3477668762207,12.47199821472168,N/A
300,5.0,N/A,390,7967,21.0,9.28,340.661985874176,8.278583526611328,N/A
300,5.0,N/A,400,8145,17.8,9.41,345.58451199531555,4.711434841156006,N/A
300,5.0,N/A,410,8319,17.4,9.31,350.30526781082153,5.4200944900512695,N/A
300,5.0,N/A,420,8486,16.7,11.74,355.3397648334503,3.910022258758545,N/A
300,5.0,N/A,430,8679,19.3,10.77,361.194442987442,4.052868366241455,N/A
300,5.0,N/A,440,8958,27.9,117.77,385.4493408203125,6.724280834197998,N/A
300,5.0,N/A,450,9190,23.2,12.9,392.47903203964233,12.514093399047852,N/A
300,5.0,N/A,460,9393,20.3,19.25,399.45923686027527,10.337970733642578,N/A
300,5.0,N/A,470,9726,33.3,25.52,409.80469584465027,5.518973350524902,N/A
300,5.0,N/A,480,10002,27.6,17.06,418.0092079639435,2.999016523361206,N/A
300,5.0,N/A,490,10285,28.3,9.31,424.9883577823639,12.346903800964355,N/A
300,5.0,N/A,500,10435,15.0,9.76,429.2852008342743,4.835746765136719,N/A
200,5.0,N/A,10,210,21.0,10.18,7.930639982223511,8.872879028320312,N/A
200,5.0,N/A,20,474,26.4,10.9,16.293835878372192,8.870288848876953,N/A
200,5.0,N/A,30,700,22.6,40.85,28.140633821487427,8.351618766784668,N/A
200,5.0,N/A,40,924,22.4,16.88,37.999680042266846,6.624268531799316,N/A
200,5.0,N/A,50,1155,23.1,9.75,44.460256814956665,7.518913745880127,N/A
200,5.0,N/A,60,1373,21.8,9.93,50.31131196022034,15.966460227966309,N/A
200,5.0,N/A,70,1536,16.3,85.27,65.58722805976868,5.073422431945801,N/A
200,5.0,N/A,80,1756,22.0,27.29,73.87996506690979,8.025257110595703,N/A
200,5.0,N/A,90,2008,25.2,34.52,83.2103681564331,3.646009683609009,N/A
200,5.0,N/A,100,2297,28.9,10.97,90.11209392547607,7.795512676239014,N/A
200,5.0,N/A,110,2458,16.1,9.28,94.29590892791748,5.244901180267334,N/A
200,5.0,N/A,120,2627,16.9,11.49,99.02542805671692,5.554103851318359,N/A
200,5.0,N/A,130,2810,18.3,96.12,115.14340996742249,7.666963577270508,N/A
200,5.0,N/A,140,2995,18.5,8.89,119.76233696937561,8.822128295898438,N/A
200,5.0,N/A,150,3171,17.6,15.07,125.285484790802,7.679387092590332,N/A
200,5.0,N/A,160,3370,19.9,26.25,132.9351167678833,5.476252555847168,N/A
200,5.0,N/A,170,3560,19.0,10.9,138.21616291999817,8.694324493408203,N/A
200,5.0,N/A,180,3850,29.0,9.28,145.2517330646515,6.850608825683594,N/A
200,5.0,N/A,190,4067,21.7,9.41,151.54515099525452,5.25682258605957,N/A
200,5.0,N/A,200,4271,20.4,10.96,157.69737601280212,9.580123901367188,N/A
200,5.0,N/A,210,4453,18.2,9.28,163.44616985321045,6.203375816345215,N/A
200,5.0,N/A,220,4589,13.6,20.3,170.09471607208252,5.424964904785156,N/A
200,5.0,N/A,230,4803,21.4,9.57,176.17259192466736,7.882753372192383,N/A
200,5.0,N/A,240,4977,17.4,10.79,182.177237033844,5.741350173950195,N/A
200,5.0,N/A,250,5143,16.6,10.82,187.71318316459656,6.12027645111084,N/A
200,5.0,N/A,260,5461,31.8,9.89,196.60745310783386,8.819784164428711,N/A
200,5.0,N/A,270,5616,15.5,9.28,201.28822302818298,8.34249210357666,N/A
200,5.0,N/A,280,5856,24.0,14.77,209.51434993743896,6.2626051902771,N/A
200,5.0,N/A,290,6078,22.2,20.9,218.6653552055359,5.621983528137207,N/A
200,5.0,N/A,300,6379,30.1,53.82,237.470764875412,9.579046249389648,N/A
200,5.0,N/A,310,6707,32.8,9.43,246.46943020820618,14.014328956604004,N/A
200,5.0,N/A,320,6952,24.5,24.05,254.96778202056885,11.125200271606445,N/A
200,5.0,N/A,330,7209,25.7,38.8,265.3219301700592,8.125266075134277,N/A
200,5.0,N/A,340,7428,21.9,18.98,272.2110869884491,8.466716766357422,N/A
200,5.0,N/A,350,7714,28.6,9.28,278.75408911705017,4.188094615936279,N/A
200,5.0,N/A,360,7962,24.8,11.39,285.0314939022064,7.795894622802734,N/A
200,5.0,N/A,370,8243,28.1,17.4,294.5200448036194,5.608129501342773,N/A
200,5.0,N/A,380,8450,20.7,9.41,301.26464080810547,8.681121826171875,N/A
200,5.0,N/A,390,8703,25.3,10.61,308.2480299472809,5.689412593841553,N/A
200,5.0,N/A,400,8951,24.8,58.09,321.38768792152405,5.230804443359375,N/A
200,5.0,N/A,410,9282,33.1,151.27,349.15289998054504,13.607144355773926,N/A
200,5.0,N/A,420,9568,28.6,10.67,356.7827091217041,5.199204444885254,N/A
200,5.0,N/A,430,9883,31.5,9.41,365.8249249458313,9.534320831298828,N/A
200,5.0,N/A,440,10048,16.5,9.87,370.74175691604614,3.959275722503662,N/A
200,5.0,N/A,450,10298,25.0,92.96,389.9301619529724,4.765699863433838,N/A
200,5.0,N/A,460,10544,24.6,69.36,405.0087478160858,11.024113655090332,N/A
200,5.0,N/A,470,10769,22.5,14.03,411.58044505119324,9.41397762298584,N/A
200,5.0,N/A,480,10991,22.2,9.41,417.3107228279114,5.841355323791504,N/A
200,5.0,N/A,490,11209,21.8,12.24,423.5241229534149,11.717289924621582,N/A
200,5.0,N/A,500,11411,20.2,68.84,437.3485999107361,4.901301383972168,N/A
400,5.0,N/A,10,173,17.3,9.41,6.945765972137451,4.535355091094971,N/A
400,5.0,N/A,20,405,23.2,10.07,14.706037998199463,7.162980556488037,N/A
400,5.0,N/A,30,624,21.9,9.28,20.833488941192627,4.312428951263428,N/A
400,5.0,N/A,40,854,23.0,10.68,27.791400909423828,11.01530647277832,N/A
400,5.0,N/A,50,1145,29.1,9.41,37.863226890563965,8.842229843139648,N/A
400,5.0,N/A,60,1371,22.6,9.83,44.29167890548706,10.3854341506958,N/A
400,5.0,N/A,70,1634,26.3,9.9,51.02701282501221,9.350950241088867,N/A
400,5.0,N/A,80,1804,17.0,20.46,57.32658505439758,7.353921890258789,N/A
400,5.0,N/A,90,2104,30.0,10.71,64.54627799987793,7.551462173461914,N/A
400,5.0,N/A,100,2266,16.2,23.55,71.29603409767151,9.470884323120117,N/A
400,5.0,N/A,110,2585,31.9,40.04,82.8425521850586,4.983852386474609,N/A
400,5.0,N/A,120,2795,21.0,41.26,92.31666803359985,8.801244735717773,N/A
400,5.0,N/A,130,3000,20.5,8.84,97.29374599456787,6.926726818084717,N/A
400,5.0,N/A,140,3203,20.3,9.28,102.39909291267395,5.223875522613525,N/A
400,5.0,N/A,150,3366,16.3,9.28,106.57335805892944,11.439314842224121,N/A
400,5.0,N/A,160,3522,15.6,9.28,110.75363397598267,7.056866645812988,N/A
400,5.0,N/A,170,3757,23.5,9.53,116.26056504249573,4.48991060256958,N/A
