seed,lr,damping,global_episode,total_steps,train_mean_reward,eval_mean_reward,time_seconds,grad_norm,condition_number
2000,0.001,0.001,10,176,17.6,15.7,8.693823099136353,7.839322090148926,96.7074966430664
2000,0.001,0.001,20,368,19.2,21.92,18.64233112335205,4.874136924743652,93.62459564208984
2000,0.001,0.001,30,578,21.0,43.45,32.723862171173096,4.836246490478516,127.98128509521484
2000,0.001,0.001,40,879,30.1,49.78,51.491499185562134,7.844625473022461,79.19783782958984
2000,0.001,0.001,50,1157,27.8,85.21,75.03959393501282,8.638628959655762,105.95919799804688
2000,0.001,0.001,60,1403,24.6,86.3,97.62675929069519,10.280709266662598,112.6590576171875
2000,0.001,0.001,70,1699,29.6,96.87,123.35998702049255,11.553976058959961,132.157470703125
2000,0.001,0.001,80,2070,37.1,225.94,170.87726998329163,13.359774589538574,168.26063537597656
2000,0.001,0.001,90,2543,47.3,136.64,208.7482521533966,14.863940238952637,156.05392456054688
2000,0.001,0.001,100,2929,38.6,178.0,249.6230480670929,16.16805648803711,90.97564697265625
2000,0.001,0.001,110,3310,38.1,161.64,287.9625771045685,11.24400520324707,141.42367553710938
2000,0.001,0.001,120,3799,48.9,303.33,351.905296087265,10.980154991149902,172.18917846679688
2000,0.001,0.001,130,4536,73.7,500.0,453.74419617652893,28.309106826782227,235.78045654296875
5000,0.001,0.001,10,139,13.9,9.41,6.6598289012908936,6.5628886222839355,168.84620666503906
5000,0.001,0.001,20,282,14.3,9.41,13.37887191772461,7.212555885314941,224.1586456298828
5000,0.001,0.001,30,435,15.3,9.41,20.51723003387451,6.05167293548584,243.30087280273438
5000,0.001,0.001,40,619,18.4,9.41,28.737512826919556,7.007023811340332,154.44900512695312
5000,0.001,0.001,50,794,17.5,9.41,36.796289920806885,10.919266700744629,194.92059326171875
5000,0.001,0.001,60,984,19.0,9.42,45.36766290664673,4.2907023429870605,174.4964599609375
5000,0.001,0.001,70,1217,23.3,9.41,55.45133590698242,7.506381034851074,202.4168701171875
5000,0.001,0.001,80,1498,28.1,10.08,67.52683901786804,7.583611488342285,222.31280517578125
5000,0.001,0.001,90,1706,20.8,10.4,77.02668786048889,4.982889652252197,177.89434814453125
5000,0.001,0.001,100,1954,24.8,12.51,88.37196898460388,3.8814845085144043,217.00213623046875
5000,0.001,0.001,110,2238,28.4,15.25,101.36043906211853,6.639457702636719,197.12400817871094
5000,0.001,0.001,120,2512,27.4,164.04,135.14396381378174,10.260875701904297,154.9144287109375
5000,0.001,0.001,130,2750,23.8,16.14,146.41182208061218,7.4252166748046875,111.10650634765625
5000,0.001,0.001,140,2978,22.8,29.05,159.24806189537048,7.75216007232666,95.45707702636719
5000,0.001,0.001,150,3182,20.4,16.43,169.1651759147644,4.427480697631836,106.5654525756836
5000,0.001,0.001,160,3442,26.0,29.0,183.0555818080902,5.766987323760986,147.74484252929688
5000,0.001,0.001,170,3702,26.0,39.28,198.38719987869263,8.042327880859375,129.44483947753906
5000,0.001,0.001,180,4132,43.0,48.29,222.85820388793945,11.480687141418457,161.50282287597656
5000,0.001,0.001,190,4503,37.1,58.27,245.947527885437,16.25649070739746,112.80620574951172
5000,0.001,0.001,200,4918,41.5,179.43,287.9609088897705,7.101114273071289,170.69601440429688
5000,0.001,0.001,210,5161,24.3,303.79,341.3425929546356,5.28501558303833,116.4913101196289
5000,0.001,0.001,220,5573,41.2,190.13,385.21070098876953,8.414413452148438,122.93119812011719
5000,0.001,0.001,230,6019,44.6,187.27,429.9679069519043,12.218926429748535,171.35948181152344
5000,0.001,0.001,240,6338,31.9,497.47,515.8305189609528,7.620408535003662,126.21743774414062
6000,0.001,0.001,10,170,17.0,9.37,7.902980089187622,6.861289978027344,144.59999084472656
6000,0.001,0.001,20,388,21.8,9.28,17.702336072921753,8.529443740844727,167.5588836669922
6000,0.001,0.001,30,570,18.2,9.68,26.338544845581055,3.341994047164917,105.42627716064453
6000,0.001,0.001,40,826,25.6,150.3,58.15049505233765,5.163702964782715,102.55557250976562
6000,0.001,0.001,50,1059,23.3,82.46,78.84356880187988,9.648477554321289,79.00408935546875
6000,0.001,0.001,60,1348,28.9,127.75,108.50831198692322,8.020355224609375,96.11615753173828
6000,0.001,0.001,70,1662,31.4,126.15,138.92488980293274,9.61732006072998,110.204833984375
6000,0.001,0.001,80,2019,35.7,147.6,173.88708090782166,6.944972515106201,101.69670867919922
6000,0.001,0.001,90,2310,29.1,217.65,216.6850550174713,6.746936321258545,66.76953125
6000,0.001,0.001,100,2593,28.3,271.55,266.8718421459198,6.805874347686768,51.37419509887695
6000,0.001,0.001,110,2939,34.6,500.0,353.47842502593994,6.714219093322754,89.09968566894531
1000,0.001,0.001,10,172,17.2,9.89,7.726814031600952,2.977966070175171,160.32537841796875
1000,0.001,0.001,20,367,19.5,9.98,16.29451608657837,7.707678318023682,135.02154541015625
1000,0.001,0.001,30,606,23.9,10.01,26.41128706932068,7.745400428771973,134.981201171875
1000,0.001,0.001,40,799,19.3,12.67,35.51273202896118,4.247384071350098,156.04368591308594
1000,0.001,0.001,50,969,17.0,25.06,45.47083806991577,10.06668758392334,208.24801635742188
1000,0.001,0.001,60,1216,24.7,28.4,59.18299412727356,7.177313327789307,145.28753662109375
1000,0.001,0.001,70,1414,19.8,43.61,73.1996681690216,3.780381679534912,128.3806610107422
1000,0.001,0.001,80,1710,29.6,41.34,91.09894394874573,10.824647903442383,208.89669799804688
1000,0.001,0.001,90,2010,30.0,45.07,109.39500904083252,4.972081661224365,158.61236572265625
1000,0.001,0.001,100,2285,27.5,57.78,128.2800030708313,5.887274265289307,235.64456176757812
1000,0.001,0.001,110,2611,32.6,79.97,152.21311402320862,5.42180871963501,313.3652038574219
