seed,lr,damping,global_episode,total_steps,train_mean_reward,eval_mean_reward,time_seconds,grad_norm,condition_number
300,0.005,0.01,10,246,24.6,16.65,8.203447103500366,4.672806739807129,18.922388076782227
300,0.005,0.01,20,453,20.7,19.22,16.193721294403076,5.914683818817139,14.915642738342285
300,0.005,0.01,30,661,20.8,127.84,38.40630626678467,8.261999130249023,14.329662322998047
300,0.005,0.01,40,943,28.2,500.0,124.28409814834595,8.169106483459473,13.03730297088623
100,0.005,0.01,10,255,25.5,9.41,7.5846052169799805,6.684693813323975,9.278063774108887
100,0.005,0.01,20,482,22.7,19.69,16.162867307662964,4.72103214263916,8.836224555969238
100,0.005,0.01,30,800,31.8,288.61,65.01339435577393,4.836132049560547,11.002169609069824
100,0.005,0.01,40,1108,30.8,68.27,88.49625420570374,12.988637924194336,8.275901794433594
100,0.005,0.01,50,1361,25.3,137.91,119.80539631843567,6.654782772064209,8.990878105163574
100,0.005,0.01,60,1762,40.1,191.56,158.43130016326904,7.7206315994262695,12.883809089660645
100,0.005,0.01,70,2075,31.3,107.0,180.3835551738739,10.119443893432617,7.125514507293701
100,0.005,0.01,80,2653,57.8,89.5,209.62678337097168,8.557011604309082,10.756988525390625
100,0.005,0.01,90,2869,21.6,9.41,217.45411825180054,13.772893905639648,20.015087127685547
100,0.005,0.01,100,3117,24.8,29.24,228.88282322883606,5.79161262512207,11.86364459991455
100,0.005,0.01,110,3346,22.9,85.61,246.989351272583,8.44188404083252,13.27711009979248
100,0.005,0.01,120,3620,27.4,140.3,274.03646898269653,11.78477668762207,18.12937355041504
100,0.005,0.01,130,4010,39.0,98.98,301.99028515815735,14.652657508850098,15.035079002380371
100,0.005,0.01,140,4297,28.7,154.63,333.4524142742157,3.5461103916168213,14.088971138000488
100,0.005,0.01,150,4740,44.3,60.38,359.68574619293213,12.355888366699219,13.532159805297852
100,0.005,0.01,160,5013,27.3,41.65,374.6643841266632,9.355215072631836,15.867846488952637
100,0.005,0.01,170,5494,48.1,76.44,400.8626880645752,10.162637710571289,18.450721740722656
100,0.005,0.01,180,5687,19.3,136.64,429.90791034698486,7.232388973236084,17.86621856689453
100,0.005,0.01,190,5982,29.5,499.73,511.45791006088257,12.04719066619873,22.256591796875
500,0.005,0.01,10,233,23.3,48.16,14.83973217010498,5.611387729644775,19.111787796020508
500,0.005,0.01,20,482,24.9,42.15,28.019044876098633,6.1023077964782715,17.84722328186035
500,0.005,0.01,30,739,25.7,30.01,39.605950117111206,8.593782424926758,18.21065330505371
500,0.005,0.01,40,1205,46.6,31.14,57.191187143325806,14.254467964172363,21.819599151611328
500,0.005,0.01,50,1465,26.0,62.74,73.21422100067139,5.295731544494629,10.983019828796387
500,0.005,0.01,60,1764,29.9,154.87,101.35268306732178,9.484331130981445,20.083782196044922
500,0.005,0.01,70,2182,41.8,25.22,118.06641697883606,7.316741943359375,16.01234245300293
500,0.005,0.01,80,2491,30.9,161.33,149.34644603729248,19.188222885131836,18.650590896606445
500,0.005,0.01,90,2853,36.2,138.34,181.74387907981873,16.327903747558594,18.097461700439453
500,0.005,0.01,100,3382,52.9,129.66,217.66893196105957,14.123662948608398,21.366533279418945
500,0.005,0.01,110,3670,28.8,133.61,248.62201189994812,13.100577354431152,17.20217514038086
500,0.005,0.01,120,4001,33.1,176.03,285.0611479282379,7.670252323150635,27.308504104614258
500,0.005,0.01,130,4236,23.5,157.92,316.82703709602356,12.896461486816406,22.10657501220703
500,0.005,0.01,140,4566,33.0,105.11,344.11758184432983,7.6121368408203125,31.129650115966797
500,0.005,0.01,150,4914,34.8,147.67,378.13417983055115,25.39664649963379,24.053115844726562
500,0.005,0.01,160,5576,66.2,201.48,425.63075590133667,19.361616134643555,27.307987213134766
500,0.005,0.01,170,6105,52.9,274.13,474.364382982254,13.590486526489258,26.579492568969727
500,0.005,0.01,180,6577,47.2,121.86,505.4663670063019,20.53443717956543,27.918716430664062
500,0.005,0.01,190,6939,36.2,85.62,531.7414319515228,9.69350528717041,20.314708709716797
500,0.005,0.01,200,7390,45.1,123.95,566.4100592136383,14.610580444335938,20.156660079956055
500,0.005,0.01,210,7857,46.7,123.97,597.4922771453857,12.122495651245117,26.934654235839844
500,0.005,0.01,220,8325,46.8,499.76,672.8150050640106,14.513954162597656,26.175090789794922
400,0.005,0.01,10,173,17.3,42.42,8.886706352233887,4.535355091094971,7.61969518661499
400,0.005,0.01,20,369,19.6,9.73,15.705244302749634,9.483418464660645,10.324972152709961
400,0.005,0.01,30,545,17.6,13.54,22.477174043655396,3.7491416931152344,12.093796730041504
400,0.005,0.01,40,756,21.1,23.0,31.889302015304565,5.345122337341309,6.845753192901611
400,0.005,0.01,50,973,21.7,36.44,44.33425307273865,5.1455841064453125,5.583456993103027
400,0.005,0.01,60,1229,25.6,15.5,55.55516815185547,7.262780666351318,11.410042762756348
400,0.005,0.01,70,1513,28.4,75.65,78.05283617973328,5.702564239501953,9.954895973205566
400,0.005,0.01,80,1789,27.6,66.38,100.23609709739685,16.951309204101562,10.542792320251465
400,0.005,0.01,90,2166,37.7,118.57,132.20502710342407,8.77971076965332,5.924846649169922
400,0.005,0.01,100,2434,26.8,99.6,153.56771612167358,12.889519691467285,21.284446716308594
400,0.005,0.01,110,2849,41.5,59.08,173.46014213562012,15.404135704040527,18.426307678222656
400,0.005,0.01,120,3027,17.8,45.84,184.14233231544495,10.532259941101074,23.407638549804688
400,0.005,0.01,130,3273,24.6,105.82,204.92043232917786,7.848507404327393,22.60077667236328
400,0.005,0.01,140,3478,20.5,251.01,242.46395325660706,8.32734489440918,22.798734664916992
400,0.005,0.01,150,3921,44.3,421.54,315.4577782154083,13.150337219238281,21.81096649169922
400,0.005,0.01,160,4225,30.4,351.15,376.23706912994385,11.933754920959473,14.139609336853027
400,0.005,0.01,170,4629,40.4,107.11,404.6165671348572,14.687577247619629,17.73145866394043
400,0.005,0.01,180,5247,61.8,197.24,457.40366530418396,32.615196228027344,28.63531494140625
400,0.005,0.01,190,5958,71.1,143.38,504.7058742046356,13.583961486816406,22.68209457397461
400,0.005,0.01,200,6299,34.1,63.43,524.7825200557709,8.451908111572266,18.352764129638672
400,0.005,0.01,210,6781,48.2,101.53,552.393226146698,14.37786865234375,29.541044235229492
400,0.005,0.01,220,7055,27.4,134.7,576.8882551193237,7.774532794952393,24.09459114074707
400,0.005,0.01,230,7612,55.7,86.8,604.9513132572174,16.368173599243164,24.70803451538086
400,0.005,0.01,240,7947,33.5,118.7,631.5379929542542,22.340404510498047,21.03266716003418
400,0.005,0.01,250,8378,43.1,30.42,652.2229361534119,27.059856414794922,27.22307777404785
400,0.005,0.01,260,8581,20.3,119.67,677.4420852661133,7.37602424621582,10.283531188964844
400,0.005,0.01,270,9147,56.6,65.03,706.448251247406,20.684284210205078,16.803808212280273
400,0.005,0.01,280,9415,26.8,126.4,730.1504082679749,16.680095672607422,18.885417938232422
400,0.005,0.01,290,9688,27.3,496.62,798.5647060871124,14.413159370422363,15.986793518066406
100,0.005,0.001,10,255,25.5,9.41,9.85014009475708,6.684693813323975,83.77987670898438
100,0.005,0.001,20,385,13.0,11.9,15.375279188156128,5.006397247314453,132.99658203125
100,0.005,0.001,30,616,23.1,17.42,24.775514125823975,11.872001647949219,141.78512573242188
100,0.005,0.001,40,843,22.7,9.93,33.06388306617737,5.575854301452637,135.33006286621094
100,0.005,0.001,50,1068,22.5,9.41,41.00995993614197,6.989386081695557,136.74635314941406
100,0.005,0.001,60,1235,16.7,116.62,59.91656827926636,5.932426929473877,123.08889770507812
100,0.005,0.001,70,1422,18.7,94.26,76.72035098075867,7.926244258880615,152.27224731445312
100,0.005,0.001,80,1656,23.4,11.67,85.37655830383301,6.177831649780273,45.82324981689453
100,0.005,0.001,90,1845,18.9,9.71,92.47223210334778,4.2790656089782715,145.95700073242188
100,0.005,0.001,100,2034,18.9,9.9,100.00037503242493,6.1153764724731445,40.27123260498047
100,0.005,0.001,110,2230,19.6,10.59,107.81360912322998,7.25076961517334,91.61775207519531
100,0.005,0.001,120,2434,20.4,37.66,119.69193506240845,6.211109161376953,131.8433380126953
100,0.005,0.001,130,2684,25.0,9.42,130.06260013580322,7.825965881347656,89.75165557861328
100,0.005,0.001,140,2926,24.2,131.02,158.8181493282318,7.5022454261779785,150.660888671875
100,0.005,0.001,150,3234,30.8,65.11,179.1784541606903,8.635071754455566,89.36180114746094
100,0.005,0.001,160,3436,20.2,8.8,187.53042316436768,7.9627532958984375,68.92213439941406
100,0.005,0.001,170,3644,20.8,20.91,196.937087059021,9.970357894897461,110.02738189697266
100,0.005,0.001,180,3885,24.1,30.86,208.2808482646942,8.265674591064453,83.35823822021484
100,0.005,0.001,190,4171,28.6,9.75,218.3112940788269,6.887993335723877,135.74205017089844
100,0.005,0.001,200,4378,20.7,13.04,226.34514904022217,5.580929279327393,141.9208526611328
100,0.005,0.001,210,4571,19.3,17.54,234.21372318267822,7.993058204650879,124.51517486572266
100,0.005,0.001,220,4797,22.6,52.22,247.30137395858765,3.2936882972717285,238.6645965576172
100,0.005,0.001,230,4980,18.3,10.93,254.42011308670044,6.332222938537598,125.7628173828125
100,0.005,0.001,240,5237,25.7,10.92,263.6715672016144,4.389414310455322,136.44537353515625
100,0.005,0.001,250,5482,24.5,31.15,275.3058512210846,5.272104740142822,126.67334747314453
100,0.005,0.001,260,5684,20.2,12.32,283.253427028656,8.753435134887695,85.16470336914062
100,0.005,0.001,270,5905,22.1,10.42,292.46542501449585,3.7787270545959473,58.76816177368164
100,0.005,0.001,280,6105,20.0,9.28,300.2466161251068,3.759258508682251,55.74748992919922
100,0.005,0.001,290,6341,23.6,9.5,309.2964391708374,8.47861385345459,101.28291320800781
100,0.005,0.001,300,6509,16.8,49.02,321.47845935821533,7.094758987426758,87.45982360839844
100,0.005,0.001,310,6866,35.7,151.45,354.851026058197,8.910362243652344,73.126953125
100,0.005,0.001,320,7156,29.0,145.65,383.7516932487488,4.061318397521973,81.36840057373047
100,0.005,0.001,330,7402,24.6,33.22,395.7999119758606,8.081239700317383,191.40371704101562
100,0.005,0.001,340,7654,25.2,96.12,414.9608609676361,13.766925811767578,197.33351135253906
100,0.005,0.001,350,7902,24.8,10.81,423.93412828445435,22.675636291503906,251.41146850585938
100,0.005,0.001,360,8113,21.1,9.31,431.742742061615,4.629827499389648,145.4722442626953
