seed,lr,damping,global_episode,total_steps,train_mean_reward,eval_mean_reward,time_seconds,grad_norm,condition_number
400,10.0,0.1,10,225,22.5,10.79,13.782112121582031,0.010071732695929952,1.6165408048668655
400,10.0,0.1,20,456,23.1,18.61,29.1324200630188,0.017084874070156703,1.6706913306902296
400,10.0,0.1,30,687,23.1,36.07,47.31949305534363,0.02303592527141179,1.4720863691035408
400,10.0,0.1,40,918,23.1,39.7,66.0800609588623,0.03384410834338667,1.5618160279506037
400,10.0,0.1,50,1172,25.4,116.25,96.92897510528564,0.03632157146496182,1.4267797801145339
400,10.0,0.1,60,1422,25.0,28.68,114.76897311210632,0.05823645656690845,1.502652811621163
400,10.0,0.1,70,1630,20.8,161.27,149.86571502685547,0.04725627650070229,1.5596231524915978
400,10.0,0.1,80,1951,32.1,255.04,203.93454909324646,0.022466853301979957,1.5468974386402257
400,10.0,0.1,90,2270,31.9,74.26,231.56963515281677,0.06340997874206034,1.5105554297300985
400,10.0,0.1,100,2418,14.8,123.53,257.0901679992676,0.16674938217028096,1.622750194045393
400,10.0,0.1,110,2754,33.6,124.58,292.46581983566284,0.051693079732755186,1.9597172845936228
400,10.0,0.1,120,3318,56.4,92.55,335.52121591567993,0.05514545877382141,2.0358253146524907
400,10.0,0.1,130,3568,25.0,228.12,380.8959889411926,0.04870049392874244,1.88309368595761
400,10.0,0.1,140,4220,65.2,97.16,428.22103095054626,0.03962071031178625,2.1703352887711134
400,10.0,0.1,150,4432,21.2,112.28,456.0386061668396,0.07571348429801117,2.2508962749065367
400,10.0,0.1,160,4973,54.1,500.0,555.3399510383606,0.022411907797423344,1.714576318034094
200,10.0,0.1,10,160,16.0,12.57,10.65280294418335,0.04596421986715769,2.3349076833830726
200,10.0,0.1,20,372,21.2,12.68,24.092939138412476,0.04748448921607596,1.7624738354784337
200,10.0,0.1,30,606,23.4,140.87,56.22460985183716,0.05065507178214964,1.912949722141976
200,10.0,0.1,40,957,35.1,87.42,88.28286910057068,0.027087958481517956,2.080356251424053
200,10.0,0.1,50,1247,29.0,158.19,126.30627012252808,0.04880859449595929,2.210175795333778
200,10.0,0.1,60,1637,39.0,76.59,159.4098048210144,0.021546447050339125,1.9167480756211412
200,10.0,0.1,70,1881,24.4,254.32,209.69153594970703,0.039807714557275345,2.113411215311249
200,10.0,0.1,80,2319,43.8,109.81,248.07302689552307,0.019465369078624242,2.1756036751203087
200,10.0,0.1,90,2758,43.9,136.77,290.77000617980957,0.008362117266051175,2.0618804811509697
200,10.0,0.1,100,3111,35.3,103.48,324.9723868370056,0.02123841474476203,2.0512001006829577
