seed,lr,damping,global_episode,total_steps,train_mean_reward,eval_mean_reward,time_seconds,grad_norm,condition_number
1000,10.0,0.0001,10,180,18.0,9.64,13.835259199142456,0.05008335079992824,9.031296815742726
1000,10.0,0.0001,20,358,17.8,61.88,32.6551411151886,0.052541552147245714,13.679819221579617
1000,10.0,0.0001,30,565,20.7,263.0,75.3553159236908,0.02585353958726361,11.42108760508727
1000,10.0,0.0001,40,1192,62.7,94.89,115.65589714050293,0.03203416037796828,12.556798049499632
1000,10.0,0.0001,50,1631,43.9,97.33,147.63579106330872,0.05279611700522268,38.99565569811348
1000,10.0,0.0001,60,1881,25.0,210.25,184.3345980644226,0.04133786202760754,127.09144895792669
1000,10.0,0.0001,70,2265,38.4,209.19,227.4678831100464,0.030136265204116178,164.5484236518022
1000,10.0,0.0001,80,2865,60.0,282.22,287.29084634780884,0.01857440673635604,98.21494228524061
1000,10.0,0.0001,90,3293,42.8,97.9,318.9251940250397,0.024301787774801204,74.20835717677208
1000,10.0,0.0001,100,3712,41.9,105.31,350.5995602607727,0.015095374833041252,54.14864868408494
1000,10.0,0.0001,110,4063,35.1,221.92,394.11683917045593,0.026364683341604637,27.338696740648405
1000,10.0,0.0001,120,4719,65.6,500.0,482.63524103164673,0.013569667836524524,31.37725712555464
4000,10.0,0.0001,10,145,14.5,16.86,13.275629043579102,0.03042626871741336,6.521652738756793
4000,10.0,0.0001,20,327,18.2,16.48,27.496116876602173,0.016578662495525098,30.365914643046562
4000,10.0,0.0001,30,574,24.7,86.78,52.40711998939514,0.030494125764225128,12.962298441148816
4000,10.0,0.0001,40,893,31.9,56.51,76.11253499984741,0.020161334119938153,12.866397993686956
4000,10.0,0.0001,50,1140,24.7,63.83,98.11732912063599,0.06473683939028362,14.587865655557477
4000,10.0,0.0001,60,1414,27.4,9.41,114.15390086174011,0.04117415826992046,19.598374615352107
4000,10.0,0.0001,70,1612,19.8,14.4,127.74652791023254,0.07282820669016558,8.088677989780416
4000,10.0,0.0001,80,1854,24.2,37.65,145.62563705444336,0.04332036261333878,22.304081472958597
4000,10.0,0.0001,90,2095,24.1,16.82,161.08641815185547,0.04782812456161936,60.620665994270546
4000,10.0,0.0001,100,2327,23.2,29.61,177.40048098564148,0.03539709344203621,18.234508243395723
4000,10.0,0.0001,110,2723,39.6,14.05,198.94041800498962,0.030728535980981804,52.03949699944885
4000,10.0,0.0001,120,2954,23.1,8.94,213.5784878730774,0.06748513904035554,225.7695785579278
4000,10.0,0.0001,130,3128,17.4,48.17,230.6957609653473,0.05609188701592133,12.515219344987884
4000,10.0,0.0001,140,3363,23.5,443.7,294.1596140861511,0.0304644624555845,45.64499871739133
4000,10.0,0.0001,150,3742,37.9,159.38,330.61367201805115,0.03354322331389536,36.75768428272283
4000,10.0,0.0001,160,3998,25.6,90.33,354.6797468662262,0.06446956787619601,25.273458900103204
4000,10.0,0.0001,170,4145,14.7,88.57,375.7351121902466,0.07714777495909482,15.393480543324888
4000,10.0,0.0001,180,4416,27.1,120.17,404.9103670120239,0.03938144690671517,12.397318929766723
4000,10.0,0.0001,190,5038,62.2,130.39,450.0264799594879,0.058744506675301685,162.20521085077243
4000,10.0,0.0001,200,5298,26.0,20.51,468.2214050292969,0.052939994984444606,66.79258013055563
4000,10.0,0.0001,210,5483,18.5,10.12,480.997022151947,0.08017809226542262,256.2070961117486
4000,10.0,0.0001,220,5699,21.6,10.06,496.0865361690521,0.03551886101395022,24.843969451111228
4000,10.0,0.0001,230,5979,28.0,10.79,513.7376458644867,0.03388955376020245,39.711589453349546
