seed,lr,damping,global_episode,total_steps,train_mean_reward,eval_mean_reward,time_seconds,grad_norm,condition_number
400,50.0,0.001,10,225,22.5,9.43,19.66548800468445,0.010071732695929952,4.716345795614343
400,50.0,0.001,20,404,17.9,13.62,37.621044874191284,0.028871945112403367,13.34772881461008
400,50.0,0.001,30,591,18.7,448.86,124.30577206611633,0.015577805692113552,7.296079357154394
400,50.0,0.001,40,849,25.8,9.28,146.50752878189087,0.06507893480629931,43.67371141835253
400,50.0,0.001,50,1058,20.9,11.7,166.36286783218384,0.0519594832253459,4.525579262564051
400,50.0,0.001,60,1252,19.4,85.69,196.02570700645447,0.04577460067630825,8.301013891002475
400,50.0,0.001,70,1490,23.8,20.35,218.55583095550537,0.05559940012339251,93.45014039631106
400,50.0,0.001,80,1642,15.2,9.47,234.56941676139832,0.037845596500240754,4.352796591248566
400,50.0,0.001,90,1842,20.0,32.86,257.0612828731537,0.015042249383711077,8.303050791487696
400,50.0,0.001,100,2049,20.7,9.41,276.10314893722534,0.024446544898671672,6.243503741941306
400,50.0,0.001,110,2252,20.3,9.45,294.8272409439087,0.06268187724974873,10.071151238281857
400,50.0,0.001,120,2476,22.4,9.48,315.07213497161865,0.018004691087991766,10.517220623112124
400,50.0,0.001,130,2637,16.1,24.67,334.079931974411,0.025138670413361004,14.337496499383565
400,50.0,0.001,140,2877,24.0,18.27,356.18505787849426,0.0368184884576046,129.58539474127872
400,50.0,0.001,150,3108,23.1,52.63,382.9034957885742,0.028259123317340266,7.256254333921987
400,50.0,0.001,160,3321,21.3,10.5,401.96379590034485,0.030163319879866837,12.99987153873806
400,50.0,0.001,170,3472,15.1,9.41,418.08417892456055,0.039865966637776806,5.134806394398782
400,50.0,0.001,180,3639,16.7,9.41,435.02552008628845,0.03907050043008871,9.490817438145186
400,50.0,0.001,190,3781,14.2,9.41,450.2652258872986,0.0332617978497094,47.64442664071138
400,50.0,0.001,200,3949,16.8,9.55,466.766489982605,0.017138662332476018,5.728453960010661
400,50.0,0.001,210,4121,17.2,9.67,483.50566387176514,0.024409843434004104,4.738950249998791
400,50.0,0.001,220,4337,21.6,8.96,502.53434109687805,0.02941384348680413,6.193249769575778
400,50.0,0.001,230,4529,19.2,10.21,520.3405239582062,0.04668490088586261,7.167898068453687
400,50.0,0.001,240,4706,17.7,11.75,538.1325039863586,0.030538483687246095,48.11648672915785
400,50.0,0.001,250,4927,22.1,16.24,559.4756109714508,0.02494131333982381,18.658331015529633
400,50.0,0.001,260,5126,19.9,16.65,578.8108808994293,0.026970495143664265,6.607532437385073
400,50.0,0.001,270,5399,27.3,30.85,604.5725610256195,0.027229662373980675,5.49366314405634
400,50.0,0.001,280,5689,29.0,9.41,627.8122820854187,0.011362069108299936,96.93722378593964
400,50.0,0.001,290,5983,29.4,9.41,651.3759210109711,0.04747989236071428,4.253719553230142
400,50.0,0.001,300,6166,18.3,85.69,679.712996006012,0.04413905933287155,6.975897335017749
400,50.0,0.001,310,6401,23.5,9.91,699.8917548656464,0.0680633603640108,25.234034986530745
400,50.0,0.001,320,6524,12.3,10.83,714.1647000312805,0.042875326720944136,39.95643244323798
400,50.0,0.001,330,6713,18.9,9.28,731.8968379497528,0.022518663601739035,31.7534865154659
400,50.0,0.001,340,6869,15.6,17.29,748.9913120269775,0.04216928939634463,3.9011261405508275
400,50.0,0.001,350,7025,15.6,9.41,764.880833864212,0.058384984310572485,6.400014174127885
400,50.0,0.001,360,7270,24.5,10.72,785.3536188602448,0.04663022593183226,9.429079133723574
400,50.0,0.001,370,7431,16.1,475.86,868.7819149494171,0.022423331258353215,53.29030620768516
200,50.0,0.001,10,160,16.0,122.17,33.37958097457886,0.04596421986715769,130.201198473975
200,50.0,0.001,20,399,23.9,9.92,54.16701912879944,0.04655675623759206,5.493413414412651
200,50.0,0.001,30,586,18.7,9.71,72.58762311935425,0.03021122126548723,6.766417135879218
200,50.0,0.001,40,847,26.1,10.23,95.5833511352539,0.024902917636004364,8.202792874197447
200,50.0,0.001,50,1090,24.3,9.41,117.57539796829224,0.02320960431113646,11.228960597646077
200,50.0,0.001,60,1214,12.4,9.63,132.52176594734192,0.022765403044190426,20.721613683506522
200,50.0,0.001,70,1471,25.7,10.7,154.88130903244019,0.03474615055040073,14.587531072899612
200,50.0,0.001,80,1711,24.0,27.27,178.68317079544067,0.01587863230622037,5.942667157594756
200,50.0,0.001,90,1951,24.0,10.85,200.2879729270935,0.03952657942948117,37.703233509094154
200,50.0,0.001,100,2128,17.7,15.13,218.76524186134338,0.06320951853858071,23.050377862940568
200,50.0,0.001,110,2355,22.7,69.65,248.63390493392944,0.03704786312008917,4.782198100600481
200,50.0,0.001,120,2601,24.6,9.28,269.63891315460205,0.01845272895017619,14.527746663231596
200,50.0,0.001,130,2833,23.2,14.01,290.71347403526306,0.03962305878058234,7.9088563973813875
200,50.0,0.001,140,3088,25.5,9.41,312.3168730735779,0.0318762415666417,14.701298854695176
200,50.0,0.001,150,3294,20.6,9.41,331.5166630744934,0.022582455393101344,14.026681220680423
200,50.0,0.001,160,3454,16.0,9.41,347.87513303756714,0.033820216808123034,7.5569258555148915
200,50.0,0.001,170,3638,18.4,25.04,368.1144320964813,0.04536632421843385,6.03351528475932
200,50.0,0.001,180,3847,20.9,98.81,400.6816110610962,0.06138719402627061,6.126484659949061
200,50.0,0.001,190,4231,38.4,9.41,429.2324719429016,0.03333329613409368,9.778711510686755
200,50.0,0.001,200,4357,12.6,21.96,445.29691100120544,0.03969126123291594,6.979576737476738
200,50.0,0.001,210,4581,22.4,9.28,465.00493907928467,0.028020849887692795,9.207718325177835
200,50.0,0.001,220,4781,20.0,19.62,484.80371594429016,0.025832915348082925,15.405484571023843
200,50.0,0.001,230,5140,35.9,9.41,511.48852586746216,0.05244699236891606,6.257779320117621
200,50.0,0.001,240,5337,19.7,95.78,543.4850409030914,0.031058257353270478,6.838605053427882
200,50.0,0.001,250,5652,31.5,9.75,568.818855047226,0.05304179436023262,7.077316918333249
200,50.0,0.001,260,5940,28.8,9.43,591.8910479545593,0.019909890663521872,6.158703468672946
200,50.0,0.001,270,6110,17.0,9.53,608.7561569213867,0.03141780672183424,5.820368931478426
200,50.0,0.001,280,6326,21.6,9.41,627.7046921253204,0.030905975917586894,120.75894145709312
200,50.0,0.001,290,6503,17.7,12.75,644.9035830497742,0.03808855991586368,7.679689493000981
200,50.0,0.001,300,6669,16.6,9.41,660.922966003418,0.019743748805440685,29.024555786265292
200,50.0,0.001,310,6905,23.6,17.54,682.2833638191223,0.05932845001201735,6.859813513118458
200,50.0,0.001,320,7102,19.7,9.36,700.4662711620331,0.035870630569653957,4.322973680464824
200,50.0,0.001,330,7322,22.0,11.47,720.2222101688385,0.03374389761266603,10.426291324953569
200,50.0,0.001,340,7585,26.3,18.81,743.6293158531189,0.03342464483303602,9.317505991779347
200,50.0,0.001,350,7792,20.7,9.41,762.4556980133057,0.04135485073785983,11.281589909151913
200,50.0,0.001,360,8005,21.3,9.51,781.2083950042725,0.02858465927128784,5.066406566030255
200,50.0,0.001,370,8190,18.5,15.86,799.4753799438477,0.025309976428772304,7.108095920382198
200,50.0,0.001,380,8441,25.1,23.44,822.1661710739136,0.022284432862613807,12.75832372215876
200,50.0,0.001,390,8763,32.2,17.56,848.421804189682,0.04150336941879525,6.5245704815685155
200,50.0,0.001,400,8940,17.7,11.24,865.63893699646,0.04262636088478509,5.800399727144986
200,50.0,0.001,410,9142,20.2,25.83,886.3674809932709,0.03143755460489306,9.647866321724512
200,50.0,0.001,420,9363,22.1,10.07,905.4461870193481,0.025873462169312855,29.41332192604698
200,50.0,0.001,430,9671,30.8,9.41,928.6306300163269,0.03855004281523688,6.182315919063246
200,50.0,0.001,440,9829,15.8,9.41,944.0899569988251,0.028892974287673283,8.244329276819968
200,50.0,0.001,450,10028,19.9,9.28,961.8968379497528,0.036717537757755894,6.517438970966279
200,50.0,0.001,460,10215,18.7,9.95,978.9743251800537,0.07549366230297427,3.6512783544420717
200,50.0,0.001,470,10436,22.1,119.44,1014.0139961242676,0.02233134447868065,7.849391499134196
200,50.0,0.001,480,10662,22.6,9.77,1033.2420282363892,0.03762815146287136,3.8090269171763738
200,50.0,0.001,490,10832,17.0,9.56,1049.2254259586334,0.028770774671062364,19.80877015548541
200,50.0,0.001,500,11032,20.0,14.65,1067.7516560554504,0.022384585943633465,14.496374458035408
