seed,lr,damping,global_episode,total_steps,train_mean_reward,eval_mean_reward,time_seconds,grad_norm,condition_number
300,0.1,N/A,10,246,24.6,45.38,11.460018157958984,4.672806739807129,N/A
300,0.1,N/A,20,536,29.0,42.64,22.822999000549316,8.925292015075684,N/A
300,0.1,N/A,30,805,26.9,160.57,49.80797505378723,4.78809928894043,N/A
300,0.1,N/A,40,1271,46.6,71.04,68.32659196853638,12.978154182434082,N/A
300,0.1,N/A,50,1699,42.8,19.06,79.5007631778717,13.530726432800293,N/A
300,0.1,N/A,60,1949,25.0,113.95,100.54960203170776,6.4077348709106445,N/A
300,0.1,N/A,70,2271,32.2,310.55,150.77080702781677,11.265571594238281,N/A
300,0.1,N/A,80,2833,56.2,111.32,176.90124416351318,14.524097442626953,N/A
300,0.1,N/A,90,3262,42.9,460.29,256.5139739513397,12.37533187866211,N/A
300,0.1,N/A,100,3994,73.2,94.38,287.9580280780792,23.33573341369629,N/A
300,0.1,N/A,110,4206,21.2,153.4,316.7327311038971,9.132881164550781,N/A
300,0.1,N/A,120,4553,34.7,500.0,404.5898861885071,7.83450174331665,N/A
100,0.1,N/A,10,255,25.5,9.41,6.422199964523315,6.684693813323975,N/A
100,0.1,N/A,20,439,18.4,9.42,11.530152082443237,6.529426097869873,N/A
100,0.1,N/A,30,676,23.7,77.93,26.762964010238647,11.994959831237793,N/A
100,0.1,N/A,40,973,29.7,90.62,45.26322293281555,7.062681198120117,N/A
100,0.1,N/A,50,1215,24.2,193.62,77.44728207588196,9.37415599822998,N/A
100,0.1,N/A,60,1758,54.3,112.73,104.61373281478882,11.049942970275879,N/A
100,0.1,N/A,70,2002,24.4,208.6,139.20380187034607,9.291297912597656,N/A
100,0.1,N/A,80,2824,82.2,135.44,174.23555493354797,10.61357307434082,N/A
100,0.1,N/A,90,3404,58.0,78.45,196.22600889205933,13.611854553222656,N/A
100,0.1,N/A,100,3583,17.9,160.97,223.837553024292,12.114753723144531,N/A
100,0.1,N/A,110,3994,41.1,9.79,235.3510069847107,21.01788902282715,N/A
100,0.1,N/A,120,4179,18.5,14.49,241.66027307510376,5.143970489501953,N/A
100,0.1,N/A,130,4331,15.2,25.53,250.02415108680725,3.0522639751434326,N/A
100,0.1,N/A,140,4502,17.1,129.65,275.37788915634155,8.267444610595703,N/A
100,0.1,N/A,150,4887,38.5,99.74,299.7278370857239,7.777915954589844,N/A
100,0.1,N/A,160,5354,46.7,107.4,326.4799110889435,14.135066986083984,N/A
100,0.1,N/A,170,5763,40.9,74.19,347.0868811607361,17.704160690307617,N/A
100,0.1,N/A,180,5979,21.6,11.18,353.71422386169434,7.051610946655273,N/A
100,0.1,N/A,190,6109,13.0,97.89,372.5903079509735,9.23166275024414,N/A
100,0.1,N/A,200,6518,40.9,125.48,402.219496011734,13.609946250915527,N/A
100,0.1,N/A,210,6955,43.7,21.38,415.0070779323578,22.386695861816406,N/A
100,0.1,N/A,220,7145,19.0,9.33,420.22557497024536,4.587895393371582,N/A
100,0.1,N/A,230,7293,14.8,9.68,424.7435851097107,3.4671549797058105,N/A
100,0.1,N/A,240,7462,16.9,44.59,435.59636783599854,3.9148976802825928,N/A
100,0.1,N/A,250,7631,16.9,77.2,451.14892292022705,5.848259925842285,N/A
100,0.1,N/A,260,7867,23.6,101.83,471.7749378681183,15.476444244384766,N/A
100,0.1,N/A,270,8193,32.6,110.68,495.889976978302,15.029889106750488,N/A
100,0.1,N/A,280,8356,16.3,111.48,515.4346330165863,9.249370574951172,N/A
